CNPJ_Fundo;Data_Referencia;Versao;Nome_Imovel;Endereco;Data_Alienacao;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Percentual_Imovel_PL
09.072.017/0001-29;2020-12-31;1;Edifício Park Tower;Avenida Magalhães de Castro, 4800 - SP;2020-12-04;732.2;2;-;0.0043;0.0042
09.072.017/0001-29;2020-12-31;1;Edifício Verbo Divino;Rua Verbo Divino, 1661 - SP;2020-10-14;13989.82;46;-;0.0745;0.0729
09.350.920/0001-04;2020-12-31;1;Marquês de Olinda, 51;Marquês de Olinda, 51 - Rio de janeiro - RJ;2020-10-01;864.52;1;n/a;0.080366;0.078814
09.350.920/0001-04;2020-12-31;1;Marquês de Olinda, 70;Marquês de Olinda, 70 - Rio de Janeiro - RJ;2020-10-01;8122;1;n/a;0.765005;0.750231
11.728.688/0001-47;2020-03-31;1;Centro Empresarial Atibaia (venda parcial);Av. Tégula, 888, Ponte Alta - Atibaia - SP;2020-03-26;4404.59;3;-;0.00752;0.006752
11.728.688/0001-47;2020-03-31;1;Edifício Os Lusíadas (Condomínio Empresarial Barão de Mauá);Rod. Dom Pedro I, Km 87 - Atibaia - SP;2020-03-26;6232.19;3;-;0.010641;0.009553
11.728.688/0001-47;2020-03-31;1;Ed. Albatroz - Gaia Ar;Rod. Dom Pedro I, Km 90 - Jarinu - SP;2020-03-26;20153.8;6;-;0.03441;0.030894
11.728.688/0001-47;2020-03-31;1;Air Liquide;Rua Ronald Cladstone Negri, 557, Campinas, SP;2020-02-27;1999;1;-;0.013037;0.011705
12.323.955/0001-69;2020-12-31;2;Apartamento Quinta da Altiora;Rua Washington Luiz, 821, apto 303, bloco 03, Centro, Petrópolis - RJ;2020-12-14;187.2;1;Imóvel vendido à prazo;0.5;0.0063
13.598.226/0001-88;2020-09-30;1;ALVES GUIMARÃES;RUA ALVES GUIMARÃES, Nº 403;2020-05-08;510;;prédio comercial;;
13.598.226/0001-88;2020-09-30;1;ALVES GUIMARÃES;RUA ALVES GUIMARÃES, Nº 429;2020-05-08;1428;;prédio comercial;;
13.598.226/0001-88;2020-09-30;1;BANDEIRA PAULISTA;RUA BANDEIRA PAULISTA, Nº 716 - SALAS 53 E 54;2020-04-27;148.34;;prédio comercial;;
13.598.226/0001-88;2020-09-30;1;BANDEIRA PAULISTA;RUA BANDEIRA PAULISTA, Nº 716 - VAGAS 31, 32, 33 E 34;2020-04-27;94.32;;prédio comercial;;
13.598.226/0001-88;2020-09-30;1;BANDEIRA PAULISTA;RUA BANDEIRA PAULISTA, Nº 716 - SALAS 103 E 104;2020-04-30;148.34;;prédio comercial;;
13.598.226/0001-88;2020-09-30;1;BANDEIRA PAULISTA;RUA BANDEIRA PAULISTA, Nº 716 - VAGAS 35, 36, 37 E 38;2020-04-30;94.32;;prédio comercial;;
13.598.226/0001-88;2020-09-30;1;BANDEIRA PAULISTA;RUA BANDEIRA PAULISTA, Nº 716 - SALAS 81 E 82;2020-09-10;148.34;;prédio comercial;;
13.598.226/0001-88;2020-09-30;1;BANDEIRA PAULISTA;RUA BANDEIRA PAULISTA, Nº 716 - VAGAS 45, 46, 47 E 48;2020-09-10;94.32;;prédio comercial;;
13.598.226/0001-88;2020-09-30;1;BANDEIRA PAULISTA;RUA BANDEIRA PAULISTA, Nº 716 - SALAS 71, 72, 73 E 74;2020-09-08;296.68;;prédio comercial;;
13.598.226/0001-88;2020-09-30;1;BANDEIRA PAULISTA;RUA BANDEIRA PAULISTA, Nº 716 - VAGAS 49, 50, 51, 52, 53, 54, 55 E 56;2020-09-08;188.64;;prédio comercial;;
13.598.226/0001-88;2020-12-31;1;ALVES GUIMARÃES;RUA ALVES GUIMARÃES, Nº 403;2020-05-08;510;;prédio comercial;;
13.598.226/0001-88;2020-12-31;1;ALVES GUIMARÃES;RUA ALVES GUIMARÃES, Nº 429;2020-05-08;1428;;prédio comercial;;
13.598.226/0001-88;2020-12-31;1;BANDEIRA PAULISTA;RUA BANDEIRA PAULISTA, Nº 716 - SALAS 53 E 54;2020-04-27;148.34;;prédio comercial;;
13.598.226/0001-88;2020-12-31;1;BANDEIRA PAULISTA;RUA BANDEIRA PAULISTA, Nº 716 - VAGAS 31, 32, 33 E 34;2020-04-27;94.32;;prédio comercial;;
13.598.226/0001-88;2020-12-31;1;BANDEIRA PAULISTA;RUA BANDEIRA PAULISTA, Nº 716 - SALAS 103 E 104;2020-04-30;148.34;;prédio comercial;;
13.598.226/0001-88;2020-12-31;1;BANDEIRA PAULISTA;RUA BANDEIRA PAULISTA, Nº 716 - VAGAS 35, 36, 37 E 38;2020-04-30;94.32;;prédio comercial;;
13.598.226/0001-88;2020-12-31;1;BANDEIRA PAULISTA;RUA BANDEIRA PAULISTA, Nº 716 - SALAS 81 E 82;2020-09-10;148.34;;prédio comercial;;
13.598.226/0001-88;2020-12-31;1;BANDEIRA PAULISTA;RUA BANDEIRA PAULISTA, Nº 716 - VAGAS 45, 46, 47 E 48;2020-09-10;94.32;;prédio comercial;;
13.598.226/0001-88;2020-12-31;1;BANDEIRA PAULISTA;RUA BANDEIRA PAULISTA, Nº 716 - SALAS 71, 72, 73 E 74;2020-09-08;296.68;;prédio comercial;;
13.598.226/0001-88;2020-12-31;1;BANDEIRA PAULISTA;RUA BANDEIRA PAULISTA, Nº 716 - VAGAS 49, 50, 51, 52, 53, 54, 55 E 56;2020-09-08;188.64;;prédio comercial;;
14.631.148/0001-39;2020-12-31;3;Itaboraí;Rua Joã o Augusto de Andrade, 25 Centro - Itaboraí - RJ;2020-12-17;206;261;0;0;0.0708
14.788.458/0001-61;2020-03-31;2;ICONO PARQUE - Apto. 1004;Rua do Pinheiro, 50, Famengo, Rio de Janeiro, RJ;2020-10-09;72.56;1;Apartamento residencial;0.1183;0.1688
14.788.458/0001-61;2020-03-31;2;ICONO PARQUE - Apto. 1006;Rua do Pinheiro, 50, Famengo, Rio de Janeiro, RJ;2020-02-11;71.87;1;Apartamento residencial;0.1144;0.1632
14.788.458/0001-61;2020-03-31;2;ICONO PARQUE - Apto. 1407;Rua do Pinheiro, 50, Famengo, Rio de Janeiro, RJ;2020-02-06;72.87;1;Apartamento residencial;0.1184;0.169
16.915.968/0001-88;2020-06-30;1;Way Parque das Nações Apto. 22;Av. Estados Unidos, 92, Parque das Nações - Santo André/SP;2020-04-03;58.87;1;Não possui;0.0769230769230769;0.00101576644067369
16.915.968/0001-88;2020-09-30;1;Way Parque das Nações Apto. 34;Av. Estados Unidos, 92, Parque das Nações - Santo André/SP;2020-09-24;58.87;1;Não possui;0.0833333333333333;0.000994211219824108
16.924.913/0001-34;2020-03-31;2;Edifício V House - Faria Lima;Av. Eusébio Matoso, 218 - Pinheiros, São Paulo - SP, CEP 05423-000;2020-02-12;108.35;1;Venda da unidade 1713;0.1014;0.015615
16.924.913/0001-34;2020-09-30;1;Edifício V House - Faria Lima;Av. Eusébio Matoso, 218 - Pinheiros, São Paulo - SP, CEP 05423-000;2020-07-08;63.5;1;Venda da unidade 1413;0.1014;0.015615
16.924.913/0001-34;2020-12-31;2;V.HOUSE - unidade 1402;Av. Eusébio Matoso, 218 - Pinheiros, São Paulo - SP, CEP 05423-000;2020-10-26;70.84;1;Venda da unidade 1402;0.0825;0.015281
16.924.913/0001-34;2020-12-31;2;V.HOUSE - unidade 1409;Av. Eusébio Matoso, 218 - Pinheiros, São Paulo - SP, CEP 05423-000;2020-10-05;81.79;1;Venda da unidade 1409;0.0953;0.018614
17.143.998/0001-86;2020-12-31;1;GR Louveira;Rua Atílio Biscuola, 1831 - Louveira - SP;2020-11-30;55202;16;O fundo detinha 90,18% do imóvel;1;0.9796
17.365.105/0001-47;2020-03-31;1;Tower Bridge;Av. Jornalista Roberto Marinho 85, São Paulo, SP, 04576-000;2020-03-09;56447.68;71;Não há;1;0.906399
17.655.115/0001-17;2020-09-30;1;Eluma;Av. Paulista, 1294 - Bela Vista - São Paulo - SP;2020-08-07;2009.96;4;Lajes Corporativas ( 17 A,17B,18A,18B);0.07135;0.119923
18.497.672/0001-10;2020-12-31;1;L'Essence Energie 2201;Rua 46, quadra C-2, Jardim Goiás, Goiânia, Goiás;2020-10-23;96.85;1;Escritura;;0.0154
18.497.672/0001-10;2020-12-31;1;Premier Blanc 2302;Avenida Americano do Brasil, nº 194, Quadra 253 e Rua 1.141, Setor Marista, Goiânia, Goiás;2020-10-08;141.73;1;Escritura;;0.025
18.497.672/0001-10;2020-12-31;1;Premier L'Allure 3301;Alameda Ricardo Paranhos, Quadra 247, Lote 1/4-35, Setor Marista, Goiânia, Goiás;2020-10-02;200.79;1;Escritura;;0.0375
18.497.672/0001-10;2020-12-31;1;Premier Vision 2302;Rua 46, quadra C-2, Jardim Goiás, Goiânia, Goiás;2020-11-27;148.97;1;Escritura;;0.0246
18.497.672/0001-10;2020-12-31;1;Premier Vision 2702;Rua 46, quadra C-2, Jardim Goiás, Goiânia, Goiás;2020-10-21;148.97;1;Escritura;;0.0246
18.497.672/0001-10;2020-12-31;1;Premier Vision 2902;Rua 46, quadra C-2, Jardim Goiás, Goiânia, Goiás;2020-10-16;148.97;1;Escritura;;0.0246
18.497.672/0001-10;2020-12-31;1;Premier Vision 3102;Rua 46, quadra C-2, Jardim Goiás, Goiânia, Goiás;2020-10-21;148.97;1;Escritura;;0.0246
18.497.672/0001-10;2020-12-31;1;Premier Vision 3701;Rua 46, quadra C-2, Jardim Goiás, Goiânia, Goiás;2020-09-22;148.97;1;Escritura;;0.0244
18.497.672/0001-10;2020-12-31;1;Visage Arena 401;Rua 52, quadra B-10, lote 07, Jardim Goiás, Goiânia, Goiás;2020-10-07;77.76;1;Escritura;;0.0104
18.497.672/0001-10;2020-12-31;1;Visage Oeste 1501;Rua R-17, quadra R-33, Setor Oeste, Goiânia, Goiás;2020-10-20;72.31;1;Escritura;;0.0097
18.497.672/0001-10;2020-12-31;1;Visage Oeste 1504;Rua R-17, quadra R-33, Setor Oeste, Goiânia, Goiás;2020-10-27;66.4;1;Escritura;;0.0102
18.497.672/0001-10;2020-12-31;1;Visage Sudoeste 801;Rua C-48, quadra 97, Setor Sudoeste, Goiânia, Goiás;2020-11-12;70.79;1;Escritura;;0.0077
19.442.626/0001-86;2020-03-31;1;BOULEVARD CORPORATE TOWER;AVENIDA DOS ANDRADAS, N° 3000 - SALAS 101 A 104 91 A 94 81 A 84 e 71 A 74;2020-01-13;4806.16;16;Contrato de Compra e Venda;1;1
19.442.626/0001-86;2020-06-30;1;BOULEVARD CORPORATE TOWER;AVENIDA DOS ANDRADAS, N° 3000 - SALAS 101 A 104 91 A 94 81 A 84 e 71 A 74;2020-01-13;4806.16;16;Contrato de Compra e Venda;1;1
19.722.048/0001-31;2020-03-31;1;JEL 747 91;Alameda Joaquim Eugênio de Lima, 747 - 91;2020-01-09;178.45;1;Apartamento residencial pronto para venda;;
19.722.048/0001-31;2020-03-31;1;CPF 62 124;Rua Cap. Pinto Ferreira 62 - 124;2020-01-13;97.16;1;Apartamento residencial pronto para venda;;
19.722.048/0001-31;2020-03-31;1;JAU 712 41;Alameda Jaú 712 - 41;2020-01-13;119.38;1;Apartamento residencial pronto para venda;;
19.722.048/0001-31;2020-03-31;1;TAB 1666 42;Rua Tabapuã 1666 - 42;2020-01-15;161.85;1;Apartamento residencial pronto para venda;;
19.722.048/0001-31;2020-03-31;1;JAU 731 111;Alameda Jaú 731 - 111;2020-01-27;141.32;1;Apartamento residencial pronto para venda;;
19.722.048/0001-31;2020-03-31;1;JAU 731 191;Alameda Jaú, 731 - 191;2020-01-28;141.32;1;Apartamento residencial pronto para venda;;
19.722.048/0001-31;2020-03-31;1;FR 74 52;Alameda Franca, 74 - 52;2020-01-30;100.55;1;Apartamento residencial pronto para venda;;
19.722.048/0001-31;2020-03-31;1;JEL 1601 43;Alameda Joaquim Eugênio de Lima 1601 - 43;2020-01-31;103.34;1;Apartamento residencial pronto para venda;;
19.722.048/0001-31;2020-03-31;1;MGD 385 111;Rua Manuel Guedes, 385 - 111;2020-02-04;166.07;1;Apartamento residencial pronto para venda;;
19.722.048/0001-31;2020-03-31;1;IN 532 31;Rua Inhambu 532 - 31;2020-02-05;113.74;1;Apartamento residencial pronto para venda;;
19.722.048/0001-31;2020-03-31;1;URI 111 31;Rua Urimonduba 111 - 31;2020-02-10;142.02;1;Apartamento residencial pronto para venda;;
19.722.048/0001-31;2020-03-31;1;CON 3064 251;Rua da Consolação 3064 - 25;2020-02-10;115.1;1;Apartamento residencial pronto para venda;;
19.722.048/0001-31;2020-03-31;1;JCA 892 23B;Rua João Cachoeira 892 - 23B;2020-02-13;84;1;Apartamento residencial pronto para venda;;
19.722.048/0001-31;2020-03-31;1;URI 171 21;Rua Urimonduba 171 - 21;2020-02-20;166.61;1;Apartamento residencial pronto para venda;;
19.722.048/0001-31;2020-03-31;1;BV 473 71;Rua Baltazar da Veiga, 473 - 71;2020-02-21;154.2;1;Apartamento residencial pronto para venda;;
19.722.048/0001-31;2020-03-31;1;CB 605 1102;Alameda Casa Branca, 605 - 1102;2020-02-21;226.45;1;Apartamento residencial pronto para venda;;
19.722.048/0001-31;2020-03-31;1;RPB 188 21;Rua Dr. Renato Paes de Barros, 188 - 21;2020-02-28;217.55;1;Apartamento residencial pronto para venda;;
19.722.048/0001-31;2020-03-31;1;BC 1642 111;Rua Bela Cintra, 1642 - 111;2020-03-03;113.8731;1;Apartamento residencial pronto para venda;;
19.722.048/0001-31;2020-03-31;1;DMA 604 102;Rua Doutor Melo Alves, 604 - 102;2020-03-03;187;1;Apartamento residencial pronto para venda;;
19.722.048/0001-31;2020-03-31;1;ITU 285 21;Alameda Itu 285 - 21;2020-03-05;56.45;1;Apartamento residencial pronto para venda;;
19.722.048/0001-31;2020-03-31;1;BB 366 61;Rua Bueno Brandão, 366 - 61;2020-03-16;153;1;Apartamento residencial pronto para venda;;
19.722.048/0001-31;2020-03-31;1;FR 139 102;Alameda Franca 139 - 102;2020-03-18;172.3615;1;Apartamento residencial pronto para venda;;
19.722.048/0001-31;2020-03-31;1;AF 205 42;Rua André Fernandes 205 - 42 A;2020-03-23;177.55;1;Apartamento residencial pronto para venda;;
19.722.048/0001-31;2020-03-31;1;CAM 834 22;Alameda Campinas 834 - 22;2020-03-23;127.96;1;Apartamento residencial pronto para venda;;
19.722.048/0001-31;2020-03-31;1;FR 850 72;Alameda Franca 850 - 72;2020-03-30;99.793;1;Apartamento residencial pronto para venda;;
19.722.048/0001-31;2020-03-31;1;JAU 731 41;Alameda Jaú 731 - 41;2020-03-31;141.32;1;Apartamento residencial pronto para venda;;
19.722.048/0001-31;2020-06-30;2;TAB 266 81;Rua Tabapuã 266 - 81;2020-04-02;165.65;1;Apartamento residencial pronto para venda;0.00820017147259093;0.00759111362975365
19.722.048/0001-31;2020-06-30;2;HL 999 112;Rua Haddock Lobo 999 - 112;2020-04-08;151.8;1;Apartamento residencial pronto para venda;0.0086485600849487;0.00800619871889752
19.722.048/0001-31;2020-06-30;2;MGD 134 91;Rua Manuel Guedes 134 - 91;2020-04-13;190.5;1;Apartamento residencial pronto para venda;0.0116055810472511;0.0107435905167923
19.722.048/0001-31;2020-06-30;2;JEL 747 112;Alameda Joaquim Eugenio de Lima 747 - 112;2020-04-15;163.02;1;Apartamento residencial pronto para venda;0.00766916053181189;0.00709954288595036
19.722.048/0001-31;2020-06-30;2;FC 320 61;Alameda Fernão Cardim 320 - 61;2020-04-16;177.68;1;Apartamento residencial pronto para venda;0.0103622186059764;0.00959257732075942
19.722.048/0001-31;2020-06-30;2;BAT 362 91;Rua Batataes, 362 - 91;2020-04-17;209.84;1;Apartamento residencial pronto para venda;0.0107893834402351;0.00998801500231662
19.722.048/0001-31;2020-06-30;2;JAU 1325 52;Alameda Jaú 1325 - 52;2020-04-28;256.54;1;Apartamento residencial pronto para venda;0.0137216547678167;0.0127024954147497
19.722.048/0001-31;2020-06-30;2;LO 853 23B;Alameda Lorena 853 - 23B;2020-04-28;89;1;Apartamento residencial pronto para venda;0.00414991027305473;0.00384168069428028
19.722.048/0001-31;2020-06-30;2;HP 26 71;Av. Hélio Pellegrino 26 - 71;2020-04-29;126.25;1;Apartamento residencial pronto para venda;0.00874767872955972;0.00809795544576408
19.722.048/0001-31;2020-06-30;2;JF 408 11;Rua Jaques Félix 408 - 11;2020-04-29;128.4;1;Apartamento residencial pronto para venda;0.00770225098414146;0.0071301755848559
19.722.048/0001-31;2020-06-30;2;JEL 1601 23;Alameda Joaquim Eugênio de Lima 1601 - 23;2020-05-15;103.34;1;Apartamento residencial pronto para venda;0.00499339370935098;0.00462251541598603
19.722.048/0001-31;2020-06-30;2;BV 130 61;Rua Baltazar da Veiga 130 - 61;2020-05-20;228.78;1;Apartamento residencial pronto para venda;0.0145562064937247;0.0134750618180804
19.722.048/0001-31;2020-06-30;2;LO 1706 72;Alameda Lorena 1706 - 72;2020-05-27;145.4;1;Apartamento residencial pronto para venda;0.00718570278234585;0.00665199337754696
19.722.048/0001-31;2020-06-30;2;CIN 63 41;Rua Cinderela 63 - 41;2020-05-28;207.045;1;Apartamento residencial pronto para venda;0.0143103484251756;0.0132474645609515
19.722.048/0001-31;2020-06-30;2;CON 2801 43;Rua da Consolação 2801 - 43;2020-05-28;100.38;1;Apartamento residencial pronto para venda;0.00413839501082966;0.00383102071426412
19.722.048/0001-31;2020-06-30;2;FR 519 71;Alameda Franca 519 - 71;2020-05-29;158.05;1;Apartamento residencial pronto para venda;0.00907136279791458;0.00839759827045812
19.722.048/0001-31;2020-06-30;2;JAU 88 73;Alameda Jaú 88 - 73;2020-06-09;132.4;1;Apartamento residencial pronto para venda;0.00543528446483972;0.00503158526874031
19.722.048/0001-31;2020-06-30;2;CB 685 101;Alameda Casa Branca 685 - 101;2020-06-12;279.408;1;Apartamento residencial pronto para venda;0.0153293921389577;0.0141908200323417
19.722.048/0001-31;2020-06-30;2;CB 749 71;Alameda Casa Branca 749 - 71;2020-06-12;175.88;1;Apartamento residencial pronto para venda;0.00975710078719946;0.00903240389791356
19.722.048/0001-31;2020-06-30;2;HNO 131 62;Rua Hans Nobiling 131 - 62;2020-06-12;99.7412;1;Apartamento residencial pronto para venda;0.00635131851944292;0.00587958199910866
19.722.048/0001-31;2020-06-30;2;JEL 1516 24;Alameda Joaquim Eugênio de Lima 1516 - 24;2020-06-18;98.63;1;Apartamento residencial pronto para venda;0.0047534742525223;0.00440041568735683
19.722.048/0001-31;2020-06-30;2;LO 853 22A;Alameda Lorena 853 - 22A;2020-06-22;115;1;Apartamento residencial pronto para venda;0.00544727101646001;0.00504268153370046
19.722.048/0001-31;2020-06-30;2;ITU 745 41;Alameda Itu 745 - 41;2020-06-24;172.66;1;Apartamento residencial pronto para venda;0.00904133093155836;0.00836979698474286
