CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Principais_Caracteristicas;Valor
14.423.780/0001-97;2020-06-30;2;Dir. Real Sol-Fran;Direito aquisitivo sobre 19 unidades residenciais, hipotecadas para garantia do financiamento da SPE desenvolvedora do projeto.;105718.63
14.423.780/0001-97;2020-06-30;2;Dir. Real Tiner Comp;Direito aquisitivo sobre 57 unidades residenciais, hipotecadas para garantia do financiamento da SPE incorporadora;11542773.32
14.423.780/0001-97;2020-09-30;1;Dir. Real Sol-Fran;Direito aquisitivo sobre 19 unidades residenciais, hipotecadas para garantia do financiamento da SPE desenvolvedora do projeto.;105718.63
14.423.780/0001-97;2020-09-30;1;Dir. Real Tiner Comp;Direito aquisitivo sobre 57 unidades residenciais, hipotecadas para garantia do financiamento da SPE incorporadora;8608303.97
14.423.780/0001-97;2020-12-31;1;Dir. Real Sol-Fran;Direito aquisitivo sobre 19 unidades residenciais, hipotecadas para garantia do financiamento da SPE desenvolvedora do projeto.;105718.63
14.423.780/0001-97;2020-12-31;1;Dir. Real Tiner Comp;Direito aquisitivo sobre 57 unidades residenciais, hipotecadas para garantia do financiamento da SPE incorporadora;7192820.49
15.576.907/0001-70;2020-06-30;1;Centauro;DIREITOS DE USO / RES-SPERATA A RECEBER;10800000
15.576.907/0001-70;2020-09-30;1;Centauro;DIREITOS DE USO / RES-SPERATA A RECEBER;11267898.6
15.576.907/0001-70;2020-12-31;1;Centauro;DIREITOS DE USO / RES-SPERATA A RECEBER;10945958.64
15.576.907/0001-70;2020-12-31;1;GPA - Tatuapé;Direitos de superficie GPA - Imóvel Tatuapé;18961147.52
15.576.907/0001-70;2020-12-31;1;GPA - Guarulhos;Direitos de superficie GPA - Imóvel Guarulhos;49583255.39
15.576.907/0001-70;2020-12-31;1;GPA - São José dos Campos;Direitos de superfície GPA - Imóvel SJC;54144302.17
16.543.270/0001-89;2020-03-31;1;Comarca de Caeté;Imóvel rural constituido por uma gleba de 40,30 ha e 71,09 ha de terras no municipio de Minas;22000000
16.543.270/0001-89;2020-03-31;1;Season Empreendimentos;Subdistrito de Amaralina, Salvador, Bahia.;1868358.01
16.543.270/0001-89;2020-03-31;1;Terras Empreendimentos;Obras finalizadas o mercado regional ainda incipiente possui grande potencial ( Bonito MS);11000000
16.543.270/0001-89;2020-03-31;1;Vereda dos Lagos;Terreno Gleba Rural - Faz. Taquaral - Município de Jequitiba;34917000
16.543.270/0001-89;2020-06-30;1;Comarca de Caeté;Imóvel rural constituido por uma gleba de 40,30 ha e 71,09 ha de terras no municipio de Minas;22000000
16.543.270/0001-89;2020-06-30;1;Season Empreendimentos;Subdistrito de Amaralina, Salvador, Bahia.;1868358.01
16.543.270/0001-89;2020-06-30;1;Terras Empreendimentos;Obras finalizadas o mercado regional ainda incipiente possui grande potencial ( Bonito MS);11000000
16.543.270/0001-89;2020-06-30;1;Vereda dos Lagos;Terreno Gleba Rural - Faz. Taquaral - Município de Jequitiba;34917000
16.543.270/0001-89;2020-09-30;1;Comarca de Caeté;Imóvel rural constituido por uma gleba de 40,30 ha e 71,09 ha de terras no municipio de Minas;22000000
16.543.270/0001-89;2020-09-30;1;Season Empreendimentos;Subdistrito de Amaralina, Salvador, Bahia.;1868358.01
16.543.270/0001-89;2020-09-30;1;Terras Empreendimentos;Obras finalizadas o mercado regional ainda incipiente possui grande potencial ( Bonito MS);11000000
16.543.270/0001-89;2020-09-30;1;Vereda dos Lagos;Terreno Gleba Rural - Faz. Taquaral - Município de Jequitiba;34917000
16.543.270/0001-89;2020-12-31;1;Comarca de Caeté;Imóvel rural constituido por uma gleba de 40,30 ha e 71,09 ha de terras no municipio de Minas;22000000
16.543.270/0001-89;2020-12-31;1;Season Empreendimentos;Subdistrito de Amaralina, Salvador, Bahia.;1868358.01
16.543.270/0001-89;2020-12-31;1;Terras Empreendimentos;Obras finalizadas o mercado regional ainda incipiente possui grande potencial ( Bonito MS);11000000
16.543.270/0001-89;2020-12-31;1;Vereda dos Lagos;Terreno Gleba Rural - Faz. Taquaral - Município de Jequitiba;34917000
17.198.404/0001-34;2020-03-31;1;Rua Paulo Assis, 190;Apartamento residencial na Barra da Tijuca, RJ;1002955.58
17.198.404/0001-34;2020-06-30;1;Rua Paulo Assis, 190;Apartamento residencial na Barra da Tijuca, RJ;1002955.58
23.781.211/0001-04;2020-03-31;1;Hospital e Maternidade Brasil;Direito de Usufruto pelo prazo de 264 meses;193153668.05
23.781.211/0001-04;2020-03-31;1;Hospital Caxias;Direito de Usufruto pelo prazo de 264 meses;125086713.44
23.781.211/0001-04;2020-03-31;1;Hospital Helena;Direito de Usufruto pelo prazo de 300 meses;219688672.9
23.781.211/0001-04;2020-03-31;1;Hospital Santa Luzia;Direito de Usufruto pelo prazo de 274 meses;121680845.5
23.781.211/0001-04;2020-03-31;1;Hospital do Coração;Direito de Usufruto pelo prazo de 274 meses;54072147.72
23.781.211/0001-04;2020-03-31;1;São Luiz Morumbi;Direito de Usufruto pelo prazo de 300 meses;221307102.9
23.781.211/0001-04;2020-06-30;2;Hospital e Maternidade Brasil;Direito de Usufruto pelo prazo de 264 meses;190612220.15
23.781.211/0001-04;2020-06-30;2;Hospital Caxias;Direito de Usufruto pelo prazo de 264 meses;123349397.99
23.781.211/0001-04;2020-06-30;2;Hospital Helena;Direito de Usufruto pelo prazo de 300 meses;217141721.92
23.781.211/0001-04;2020-06-30;2;Hospital Santa Luzia;Direito de Usufruto pelo prazo de 274 meses;120120834.67
23.781.211/0001-04;2020-06-30;2;Hospital do Coração;Direito de Usufruto pelo prazo de 274 meses;53378915.04
23.781.211/0001-04;2020-06-30;2;São Luiz Morumbi;Direito de Usufruto pelo prazo de 300 meses;218952772.02
23.781.211/0001-04;2020-09-30;1;Hospital e Maternidade Brasil;Direito de Usufruto pelo prazo de 264 meses;188018312.4
23.781.211/0001-04;2020-09-30;1;Hospital Caxias;Direito de Usufruto pelo prazo de 264 meses;121612082.54
23.781.211/0001-04;2020-09-30;1;Hospital Helena;Direito de Usufruto pelo prazo de 300 meses;214594770.94
23.781.211/0001-04;2020-09-30;1;Hospital Santa Luzia;Direito de Usufruto pelo prazo de 274 meses;118560823.84
23.781.211/0001-04;2020-09-30;1;Hospital do Coração;Direito de Usufruto pelo prazo de 274 meses;52685682.36
23.781.211/0001-04;2020-09-30;1;São Luiz Morumbi;Direito de Usufruto pelo prazo de 300 meses;216598441.14
23.781.211/0001-04;2020-12-31;1;Hospital e Maternidade Brasil;Direito de Usufruto pelo prazo de 264 meses;185319484.95
23.781.211/0001-04;2020-12-31;1;Hospital Caxias;Direito de Usufruto pelo prazo de 264 meses;119874767.09
23.781.211/0001-04;2020-12-31;1;Hospital Helena;Direito de Usufruto pelo prazo de 300 meses;212047819.96
23.781.211/0001-04;2020-12-31;1;Hospital Santa Luzia;Direito de Usufruto pelo prazo de 274 meses;117000813.01
23.781.211/0001-04;2020-12-31;1;Hospital do Coração;Direito de Usufruto pelo prazo de 274 meses;51992449.68
23.781.211/0001-04;2020-12-31;1;São Luiz Morumbi;Direito de Usufruto pelo prazo de 300 meses;214244110.26
24.070.076/0001-51;2020-03-31;1;DIREITO DE PARTICIPAÇÃO VGV - PAULISTANIA;Participação através de permuta financeira;15194796
24.070.076/0001-51;2020-03-31;1;DIREITO DE PARTICIPAÇÃO VGV - PENAFOR;Participação através de permuta financeira;17585697.73
24.070.076/0001-51;2020-03-31;1;DIREITO DE PARTICIPAÇÃO VGV - ANTONIO GIL;Participação através de permuta financeira;18769585.83
24.070.076/0001-51;2020-03-31;1;DIREITO DE PARTICIPAÇÃO VGV - MAJOR FREIRE;Participação através de permuta financeira;15075811.85
24.070.076/0001-51;2020-09-30;1;DIREITO DE PARTICIPAÇÃO VGV - PAULISTANIA;Participação através de permuta financeira;17543066.24
24.070.076/0001-51;2020-09-30;1;DIREITO DE PARTICIPAÇÃO VGV - PENAFOR;Participação através de permuta financeira;14366985.48
24.070.076/0001-51;2020-09-30;1;DIREITO DE PARTICIPAÇÃO VGV - ANTONIO GIL;Participação através de permuta financeira;15178859.74
24.070.076/0001-51;2020-09-30;1;DIREITO DE PARTICIPAÇÃO VGV - MAJOR FREIRE;Participação através de permuta financeira;17225792.46
24.070.076/0001-51;2020-12-31;1;DIREITO DE PARTICIPAÇÃO VGV - PAULISTANIA;Participação através de permuta financeira;16964593.1
24.070.076/0001-51;2020-12-31;1;DIREITO DE PARTICIPAÇÃO VGV - PENAFOR;Participação através de permuta financeira;13920406.33
24.070.076/0001-51;2020-12-31;1;DIREITO DE PARTICIPAÇÃO VGV - ANTONIO GIL;Participação através de permuta financeira;14882559.24
24.070.076/0001-51;2020-12-31;1;DIREITO DE PARTICIPAÇÃO VGV - MAJOR FREIRE;Participação através de permuta financeira;16488856.29
28.267.530/0001-10;2020-03-31;1;IMOVEL NO BAIRRO DO BRÁS - SP;Propriedade fiduciária de imóveis na Rua Coronel Mursa, 46 a 166 no bairro do Brás em São Paulo - SP, relativos a execução de garantia.;126013.5
28.267.530/0001-10;2020-06-30;1;IMOVEL NO BAIRRO DO BRÁS - SP;Propriedade fiduciária de imóveis na Rua Coronel Mursa, 46 a 166 no bairro do Brás em São Paulo - SP, relativos a execução de garantia.;126013.5
28.267.530/0001-10;2020-09-30;1;IMOVEL NO BAIRRO DO BRÁS - SP;Propriedade fiduciária de imóveis na Rua Coronel Mursa, 46 a 166 no bairro do Brás em São Paulo - SP, relativos a execução de garantia.;126013.5
28.267.530/0001-10;2020-12-31;1;IMOVEL NO BAIRRO DO BRÁS - SP;Propriedade fiduciária de imóveis na Rua Coronel Mursa, 46 a 166 no bairro do Brás em São Paulo - SP, relativos a execução de garantia.;133024.5
30.178.506/0001-56;2020-12-31;1;Fazenda Pirapozinho;Ativo em fase e regularização de documentação (Temos formalizado um CVC com clausulas resolutivas a serem cumpridas antes da integralização do ativo);754000
32.892.018/0001-31;2020-12-31;2;Shopping Metro Tucuruvi;225 Lojas2.188 Vagas | Estacionamento;374296418.35
