CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Percentual_Garantido_Relativo;Garantidor;Principais_Caracteristicas_Garantia
18.369.510/0001-04;2020-09-30;3;IMÓVEL CONASA;1;Cia Aguas de Itapema, regime built to suit, fiador CONASA;Locação garantida fev16 a jul29, vl mensal R$ 177.754,85
18.369.510/0001-04;2020-12-31;3;IMÓVEL CONASA;1;Cia Aguas de Itapema, regime built to suit, fiador CONASA;Locação garantida fev16 a jul29, vl mensal R$ 177.754,85
21.408.063/0001-51;2020-12-31;1;Edíficio River One;;;Retorno de 7% a.a. sobre o valor desembolsado durante 15 meses após assinatura da escritura
26.681.370/0001-25;2020-06-30;2;Ed. Torre Sul;0.04;;R$ 5 Milhões depositado em conta garantia para pagamento de renda mínima mensal no prazo de 12 meses.
26.681.370/0001-25;2020-09-30;1;Ed. Torre Sul;0.04;;R$ 5 Milhões depositado em conta garantia para pagamento de renda mínima mensal no prazo de 12 meses.
27.538.422/0001-71;2020-12-31;1;Não há informação apresentada.;;;
30.629.603/0001-18;2020-03-31;3;Imóvel Itapevi;0.1095;LPP EMPREENDIMENTOS;Garantia de renda de R$ 594.000.00 até dezembro de 2020.
30.629.603/0001-18;2020-06-30;1;Imóvel Itapevi;0.1014;LPP EMPREENDIMENTOS;Garantia de renda de R$ 594.000.00 até dezembro de 2020
30.871.698/0001-81;2020-06-30;1;The Cittyplex Osasco;0.00166666666666667;Helbor;garantia Helbor no 1o ano e do fundo de complemento por 36 meses, para entregar o mínimo de 8% a.a. de dividend yield
30.871.698/0001-81;2020-06-30;1;Condomínio Helbor Trilogy Home & Offices;0.00166666666666667;Helbor;garantia Helbor no 1o ano e do fundo de complemento por 36 meses, para entregar o mínimo de 8% a.a. de dividend yield
30.871.698/0001-81;2020-06-30;1;Neolink Office, Mal & Stay;0.00166666666666667;Helbor;garantia Helbor no 1o ano e do fundo de complemento por 36 meses, para entregar o mínimo de 8% a.a. de dividend yield
30.871.698/0001-81;2020-06-30;1;One Eleven;0.00166666666666667;Helbor;garantia Helbor no 1o ano e do fundo de complemento por 36 meses, para entregar o mínimo de 8% a.a. de dividend yield
31.894.369/0001-19;2020-03-31;1;Ed. Birmann 20;0.388;Vendedores do imóvel;Complemento de renda durante os primeiros 18 meses a contar da aquisição do imóvel, com objetivo de garantir a receita mensal de R$ 937.500,00.
31.894.369/0001-19;2020-06-30;1;Ed. Birmann 20;0.388;Vendedores do imóvel;Complemento de renda durante os primeiros 18 meses a contar da aquisição do imóvel, com objetivo de garantir a receita mensal de R$ 937.500,00.
31.894.369/0001-19;2020-09-30;2;Ed. Birmann 20;0.388;Vendedores do imóvel;Complemento de renda durante os primeiros 18 meses a contar da aquisição do imóvel, com objetivo de garantir a receita mensal de R$ 937.500,00.
31.894.369/0001-19;2020-09-30;2;Ed. Morumbi;0.388;Vendedores do imóvel;Complemento de renda durante os primeiros 24 meses a contar da aquisição do imóvel, com objetivo de garantir a receita mensal de R$ 726.380,56.
31.894.369/0001-19;2020-12-31;1;Ed. Birmann 20;0.388;Vendedores do imóvel;Complemento de renda durante os primeiros 18 meses a contar da aquisição do imóvel, com objetivo de garantir a receita mensal de R$ 937.500,00.
31.894.369/0001-19;2020-12-31;1;Ed. Morumbi;0.388;Vendedores do imóvel;Complemento de renda durante os primeiros 24 meses a contar da aquisição do imóvel, com objetivo de garantir a receita mensal de R$ 726.380,56.
35.754.164/0001-99;2020-09-30;4;Ribeirão das Neves;0.17;Vendedor do imóvel;Pelo prazo de 18 meses a partir de agosto de 2020.
35.754.164/0001-99;2020-12-31;2;Ribeirão das Neves;0.17;Vendedor do imóvel;Pelo prazo de 18 meses a partir de agosto de 2020.
36.517.660/0001-91;2020-12-31;1;Urbic Sabia;0.0067;Vendedor;O pagamento de renda garantida será sobre todos os valores efetivamente recebidos pelaVENDEDORA de acordo com as parcelas acordadas, durante o periodo de contrução
36.517.660/0001-91;2020-12-31;1;Urbic Tomas Alves;0.0067;Vendedor;O pagamento de renda garantida será sobre todos os valores efetivamente recebidos pelaVENDEDORA de acordo com as parcelas acordadas, durante o periodo de contrução
36.517.660/0001-91;2020-12-31;1;Cyrela for you;0.0067;Vendedor;O pagamento de renda garantida será sobre todos os valores efetivamente recebidos pelaVENDEDORA de acordo com as parcelas acordadas, durante o periodo de contrução
