CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Percentual_Garantido_Relativo;Garantidor;Principais_Caracteristicas_Garantia
17.311.079/0001-74;2019-06-30;1;Praça Capital - Bloco 02;1;A incorporadora;Prêmio de locação pago ao fundo em benefício dos cotistas desde a data de recebimento do preço de aquisição, que ocorreu em março de 2018, até os 12 (doze) meses consecutivos à data de obtenção do habite-se frequência mensal calculado pro rata temporis taxa de 9,5% a.a. calculado com capitalização composta com base em um ano de 252 dias úteis.
17.590.518/0001-25;2019-03-31;2;VUL ADM E INCORPORAD;0;GENERAL SHOPPING BRASIL S.A.;No Prospecto de Distruição Pública de Cotas foi acordado o pagamento do valor de R$ 10,00 por cota ao ano, equivalente a R$ 0,83 por cota/mês a título de renda mínima garantida, com término em 48 meses após a inauguração do Parque Shopping Maia (término previsto para abril/19)
18.369.510/0001-04;2019-03-29;1;IMÓVEL CONASA;1;Cia Aguas de Itapema, regime built to suit, fiador CONASA;Locação garantida fev16 a jul29, vl mensal R$ 177.754,85
18.369.510/0001-04;2019-06-28;1;IMÓVEL CONASA;1;Cia Aguas de Itapema, regime built to suit, fiador CONASA;Locação garantida fev16 a jul29, vl mensal R$ 177.754,85
18.369.510/0001-04;2019-09-30;1;IMÓVEL CONASA;1;Cia Aguas de Itapema, regime built to suit, fiador CONASA;Locação garantida fev16 a jul29, vl mensal R$ 177.754,85
18.369.510/0001-04;2019-12-31;1;IMÓVEL CONASA;1;Cia Aguas de Itapema, regime built to suit, fiador CONASA;Locação garantida fev16 a jul29, vl mensal R$ 177.754,85
22.957.521/0001-74;2019-03-31;1;N/A;;;
22.957.521/0001-74;2019-06-30;1;N/A;;;
22.957.521/0001-74;2019-09-30;1;N/A;;;
22.957.521/0001-74;2019-12-31;1;N/A;;;
28.516.650/0001-03;2019-03-31;1;N/A;0;N/A;N/A
28.516.650/0001-03;2019-06-30;1;N/A;0;N/A;N/A
28.516.650/0001-03;2019-09-30;1;N/A;0;N/A;N/A
28.516.650/0001-03;2019-12-31;1;N/A;0;N/A;N/A
28.693.595/0001-27;2019-03-31;1;N/A;0;N/A;N/A
28.693.595/0001-27;2019-06-30;1;N/A;0;N/A;N/A
28.693.595/0001-27;2019-09-30;1;N/A;0;N/A;N/A
28.693.595/0001-27;2019-12-31;1;N/A;0;N/A;N/A
30.654.849/0001-40;2019-12-31;1;Edifício Corporate Evolution;1;Noctus Empreendimentos e Participacoes S.A.;Premio de Locação
30.791.386/0001-68;2019-06-30;1;N/A;0;N/A;N/A
30.791.386/0001-68;2019-09-30;1;N/A;0;N/A;N/A
30.791.386/0001-68;2019-12-31;2;N/A;0;N/A;N/A
