CNPJ_Fundo;Data_Referencia;Versao;Data_Entrega;Nome_Fundo;Data_Funcionamento;Publico_Alvo;Codigo_ISIN;Quantidade_Cotas_Emitidas;Fundo_Exclusivo;Fundo_Nao_Listado_Exclusivo;Cotistas_Vinculo_Familiar;Mandato;Segmento_Atuacao;Tipo_Gestao;Prazo_Duracao;Data_Prazo_Duracao;Encerramento_Exercicio_Social;Mercado_Negociacao_Bolsa;Mercado_Negociacao_MBO;Mercado_Negociacao_MB;Entidade_Administradora_BVMF;Entidade_Administradora_CETIP;Nome_Administrador;CNPJ_Administrador;Logradouro;Numero;Complemento;Bairro;Cidade;Estado;CEP;Telefone1;Telefone2;Telefone3;Site;Email;Data_Encerramento_Trimestre
06.175.262/0001-73;2016-12-31;1;2017-02-15;FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST;2004-05-04;INVESTIDORES EM GERAL;BREDFOCTF004;236000;Não;Não;Não;Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;OLIVEIRA TRUST DTVM S.A.;06175262000173;Avenida das Americas;500;BLOCO 13 - SALA 205;Barra da Tijuca;Rio de Janeiro;RJ;22.631-000;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br;2016-12-31
07.000.400/0001-46;2016-12-31;1;2017-02-13;BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO;2004-06-03;INVESTIDORES EM GERAL;BRBBFICTF006;130000;Não;Não;Não;Títulos e Valores Mobiliários;Híbrido;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;CAIXA ECONÔMICA FEDERAL;07000400000146;Avenida Paulista;2300;11º  andar;Cerqueira Cesar;São Paulo;SP;01310-300;(11) 3555-6350;;;www.caixa.gov.br;supot02@caixa.gov.br;2016-12-31
07.122.725/0001-00;2016-12-31;2;2017-02-15;FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE ALMIRANTE;2012-10-15;INVESTIDORES EM GERAL;BRALMICTF003;104700;Não;Não;Não;Renda;Lajes Corporativas;Passiva;Indeterminado;;Dezembro;Sim;Não;Não;Sim;Não;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;07122725000100;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3441;;;www.btgpactual.com;sh-contato-fundoimobiliario@btgpactual.com;2016-12-30
07.224.019/0001-60;2016-12-31;2;2017-02-16;FUNDO DE INVESTIMENTO IMOBILIARIO - FII SHOPPING PARQUE D. P;2012-11-01;INVESTIDORES EM GERAL;BRSHDPCTF007;1629280.0001;Não;Sim;Não;Renda;Shoppings;Passiva;Indeterminado;;Dezembro;Sim;Não;Não;Sim;Não;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;07224019000160;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3441;;;www.btgpactual.com;sh-contato-fundoimobiliario@btgpactual.com;2016-12-30
07.352.632/0001-63;2016-12-31;2;2017-02-15;FUNDO DE INVESTIMENTO IMOBILIARIO - FII RODOBENS;2012-10-25;INVESTIDORES EM GERAL;BRRDBSCTF006;40000;Não;Sim;Não;Renda;Logística;Passiva;Indeterminado;;Dezembro;Sim;Não;Não;Sim;Não;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;07352632000163;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3441;;;www.btgpactual.com;sh-contato-fundoimobiliario@btgpactual.com;2016-12-30
07.583.627/0001-61;2016-12-31;1;2017-02-14;FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA;2005-06-23;INVESTIDOR QUALIFICADO;0;224952;Sim;Sim;Não;Renda;Outros;Passiva;Indeterminado;;31/12;Não;Não;Sim;Não;Não;BANCO OURINVEST S.A.;07583627000161;Av. Paulista;1728;2º andar;Bela Vista;São Paulo;SP;01310-919;4081-4402;4081-4444;;ourinvest.com.br;negociosimobiliarios@ourinvest.com.br;2016-12-31
07.789.135/0001-27;2016-12-31;3;2017-05-25;FII ANCAR IC;2005-12-21;INVESTIDORES EM GERAL;BRANCRCTF001;451113;Não;Não;Não;Desenvolvimento para Renda;Shoppings;Ativa;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;GERAÇÃO FUTURO CORRETORA DE VALORES S.A;07789135000127;AV. PAULISTA;1106;6º ANDAR;BELA VISTA;SÃO PAULO;SP;01310-100;(11) 3524-8888;(11) 2137-8888;0800 605 8888;www.gerafuturo.com.br;middleadmint@gerafuturo.com.br;2016-12-31
08.014.513/0001-63;2016-12-31;2;2017-02-16;FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOSPITAL NOSSA SENHO;2012-10-18;INVESTIDORES EM GERAL;BRNSLUCTF008;1144800;Não;Não;Não;Renda;Hospital;Passiva;Indeterminado;;Dezembro;Sim;Não;Não;Sim;Não;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;08014513000163;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3441;;;www.btgpactual.com;sh-contato-fundoimobiliario@btgpactual.com;2016-12-30
08.098.114/0001-28;2016-12-31;2;2017-02-16;FUNDO DE INVESTIMENTO IMOBILIARIO - FII COMERCIAL PROGRESSIV;2012-10-30;INVESTIDORES EM GERAL;BRPRGDCTF001;3568083;Não;Sim;Não;Renda;Híbrido;Ativa;Indeterminado;;Dezembro;Não;Não;Sim;Não;Não;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;08098114000128;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3441;;;www.btgpactual.com;sh-contato-fundoimobiliario@btgpactual.com;2016-12-30
08.417.532/0001-30;2016-12-31;1;2017-02-14;FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM;2006-08-14;INVESTIDORES EM GERAL;0;46971;Não;Não;Não;Renda;Outros;Ativa;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;08417532000130;AV. CHEDID JAFET;222;BLOCO B - 3º ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2016-12-31
08.431.747/0001-06;2016-12-31;1;2017-02-14;CSHG BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2006-12-28;INVESTIDORES EM GERAL;BRHGBSCTF000;537492;Não;Não;Não;Renda;Shoppings;Ativa;Indeterminado;;12/2016;Sim;Não;Não;Sim;Não;CREDIT SUISSE HEDGING - GRIFFO CORRETORA DE VALORES S.A.;08431747000106;RUA LEOPOLDO COUTO DE MAGALHÃES JR;700;11º andar;ITAIM BIBI;SÃO PAULO;SP;04542-000;(11) 3701-8600;;;www.cshg.com.br;list.imobiliario@cshg.com.br;2016-12-31
08.610.522/0001-17;2016-12-31;2;2017-02-15;FUNDO DE INVESTIMENTO IMOBILIARIO - FII PREMIER REALTY;2013-01-31;INVESTIDORES EM GERAL;BRPRMRCTF009;2140429.9855;Não;Não;Não;Renda;Outros;Passiva;Indeterminado;;Dezembro;Não;Não;Sim;Não;Não;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;08610522000117;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3441;;;www.btgpactual.com;sh-contato-fundoimobiliario@btgpactual.com;2016-12-30
08.693.497/0001-82;2016-12-31;1;2017-02-14;FUNDO DE INVESTIMENTO IMOBILIÁRIO VEREDA;2007-05-31;INVESTIDORES EM GERAL;BRVERECTF002;550084;Não;Não;Não;Renda;Híbrido;Ativa;Indeterminado;;31/12;Sim;Sim;Não;Sim;Sim;VOTORANTIM ASSET MANAGEMENT DTVM LTDA.;08693497000182;Avenida das Nações Unidas;14171;torre A, 11º andar;Vila Gertrudes;São Paulo;SP;04794-000;(11) 5171-5359;;;www.vam.com.br;vwmprodutosestruturados@votorantimwm.com.br;2016-12-30
08.696.175/0001-97;2016-12-31;1;2017-02-15;RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2007-01-30;INVESTIDORES EM GERAL;BRFIIPCTF001;927162;Não;Não;Não;Renda;Logística;Ativa;Indeterminado;;06/2017;Sim;Não;Não;Sim;Não;OLIVEIRA TRUST DIST. DE TÍTULOS E VALORES MOBILIÁRIOS S/A;08696175000197;AVENIDA DAS AMÉRICAS;500;BLOCO 13 - SALA 205;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;22.631-000;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br;2016-12-31
08.706.065/0001-69;2016-12-31;3;2018-09-18;FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOTEL MAXINVEST;2012-11-01;INVESTIDORES EM GERAL;BRHTMXCTF000;714515.9999;Não;Não;Não;Renda;Hotel;Ativa;Indeterminado;;Dezembro;Sim;Não;Não;Sim;Não;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;08706065000169;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3441;;;www.btgpactual.com;sh-contato-fundoimobiliario@btgpactual.com;2016-12-30
08.924.783/0001-01;2016-12-31;2;2017-02-16;FUNDO DE INVESTIMENTO IMOB BTG PACTUAL CORPORATE OFFICE FUND;2013-06-03;INVESTIDORES EM GERAL;BRBRCRCTF000;19224536.9969;Não;Não;Não;Híbrido;Híbrido;Ativa;Indeterminado;;Dezembro;Sim;Não;Não;Sim;Não;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;08924783000101;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3441;;;www.btgpactual.com;sh-contato-fundoimobiliario@btgpactual.com;2016-12-30
09.006.914/0001-34;2016-12-31;1;2017-02-14;FUNDO RB CAPITAL RENDA II FUNDO DE INVESTIMENTO IMOBILIÁRIO;2007-08-13;INVESTIDORES EM GERAL;BRRBRDCTF008;1851786;Não;Não;Não;Renda;Híbrido;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;VOTORANTIM ASSET MANAGEMENT DTVM LTDA.;09006914000134;Avenida das Nações Unidas;14171;torre A - 11º andar;Vila Gertrudes;São Paulo;SP;04794-000;(11) 5171-5096;;;www.vam.com.br;vwmprodutosestruturados@votorantimwm.com.br;2016-12-30
09.072.017/0001-29;2016-12-31;2;2017-02-15;CSHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2008-05-06;INVESTIDORES EM GERAL;BRHGRECTF006;738310;Não;Não;Não;Renda;Lajes Corporativas;Ativa;Indeterminado;;12/2016;Sim;Não;Não;Sim;Não;CREDIT SUISSE HEDGING - GRIFFO CORRETORA DE VALORES S.A.;09072017000129;RUA LEOPOLDO COUTO DE MAGALHÃES JR;700;11º andar;ITAIM BIBI;SÃO PAULO;SP;04542-000;(11) 3701-8600;;;www.cshg.com.br;list.imobiliario@cshg.com.br;2016-12-31
09.150.967/0001-24;2016-12-31;1;2017-02-14;FUNDO DE INVESTIMENTO IMOBILIÁRIO PATRIMONIAL IV;2007-10-18;INVESTIDORES EM GERAL;;68613;Não;Não;Não;;;;Indeterminado;;31/12;Não;Sim;Não;Não;Sim;FINAXIS CORRETORA;09150967000124;Avenida Paulista;1842;Torre Norte 1º andar cj. 17;Cerqueira Cesar;São Paulo;SP;01310-923;(11) 3526 9001;;;http://finaxis.com.br/;informacoesfundos@bancopetra.com.br;2016-12-31
09.276.964/0001-31;2016-12-31;2;2017-02-16;FUNDO DE INVESTIMENTO IMOBILIARIO PROPERTY INVEST;2012-12-31;INVESTIDORES EM GERAL;BRPRPYCTF008;1111863.0003;Não;Sim;Não;Renda;Lajes Corporativas;Passiva;Indeterminado;;Dezembro;Não;Não;Sim;Não;Não;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;09276964000131;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3441;;;www.btgpactual.com;sh-contato-fundoimobiliario@btgpactual.com;2016-12-30
