CNPJ_Fundo;Data_Referencia;Versao;Percentual_Vencimento_Valor_Total_Faixa_Ate_3Meses;Percentual_Vencimento_Receita_FII_Faixa_Ate_3Meses;Percentual_Vencimento_Valor_Total_Faixa_3a6Meses;Percentual_Vencimento_Receita_FII_Faixa_3a6Meses;Percentual_Vencimento_Valor_Total_Faixa_6a9Meses;Percentual_Vencimento_Receita_FII_Faixa_6a9Meses;Percentual_Vencimento_Valor_Total_Faixa_9a12Meses;Percentual_Vencimento_Receita_FII_Faixa_9a12Meses;Percentual_Vencimento_Valor_Total_Faixa_12a15Meses;Percentual_Vencimento_Receita_FII_Faixa_12a15Meses;Percentual_Vencimento_Valor_Total_Faixa_15a18Meses;Percentual_Vencimento_Receita_FII_Faixa_15a18Meses;Percentual_Vencimento_Valor_Total_Faixa_18a21Meses;Percentual_Vencimento_Receita_FII_Faixa_18a21Meses;Percentual_Vencimento_Valor_Total_Faixa_21a24Meses;Percentual_Vencimento_Receita_FII_Faixa_21a24Meses;Percentual_Vencimento_Valor_Total_Faixa_24a27Meses;Percentual_Vencimento_Receita_FII_Faixa_24a27Meses;Percentual_Vencimento_Valor_Total_Faixa_27a30Meses;Percentual_Vencimento_Receita_FII_Faixa_27a30Meses;Percentual_Vencimento_Valor_Total_Faixa_30a33Meses;Percentual_Vencimento_Receita_FII_Faixa_30a33Meses;Percentual_Vencimento_Valor_Total_Faixa_33a36Meses;Percentual_Vencimento_Receita_FII_Faixa_33a36Meses;Percentual_Vencimento_Valor_Total_Faixa_Acima_36Meses;Percentual_Vencimento_Receita_FII_Faixa_Acima_36Meses;Percentual_Vencimento_Valor_Total_Faixa_Indeterminado;Percentual_Vencimento_Receita_FII_Faixa_Indeterminado;Percentual_Indexador_Valor_Total_IGPM;Percentual_Indexador_Receita_FII_IGPM;Percentual_Indexador_Valor_Total_INPC;Percentual_Indexador_Receita_FII_INPC;Percentual_Indexador_Valor_Total_IPCA;Percentual_Indexador_Receita_FII_IPCA;Percentual_Indexador_Valor_Total_INCC;Percentual_Indexador_Receita_FII_INCC;Caracteristicas_Contratuais;Politica_Contratacao_Seguro_Imovel_Renda_Acabado;Politica_Contratacao_Seguro_Imovel_Renda_Construcao;Politica_Contratacao_Seguro_Imovel_Venda_Acabado;Politica_Contratacao_Seguro_Imovel_Venda_Construcao;Ativo_Liquidez_Valor_Disponibilidades;Ativo_Liquidez_Valor_Titulos_Publicos;Ativo_Liquidez_Valor_Titulos_Privados;Ativo_Liquidez_Valor_Fundos_Renda_Fixa
01.657.856/0001-05;2016-12-31;1;0.009574;0.009366;0.024384;0.023854;0.046577;0.045564;0.126588;0.123833;0.046865;0.045845;0.086364;0.084485;0.005338;0.005222;0;0;0.005192;0.005079;0;0;0.052831;0.051681;0.02633;0.025757;0.186033;0.181985;0.383924;0.375571;1;1;;;;;;;Todos os contratos com os locatários das lojas de propriedades do FUNDO tem como indice de resajuste o IGP-M;A Administradora contrata cobertura de seguros, através de Seguradoras renomadas e devidamente registradas na SUSEP,  atualizando os valores anualmente. A apólice cobre à incendio, queda de raio, explosão e implosão, queda de aeronaves e danos elétricos, cobrindo também a interrupção de negócios em consequencia de  incendio, queda de raio, explosão e implosão, queda de aeronaves e danos elétricos.;;;;36773.66;0;700265.92;195923.77
01.964.775/0001-40;2016-12-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17205.66;1291079.51;;
02.027.437/0001-44;2016-12-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Os contratos de locação são dos imóveis do Fundo  preveem  período de de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M.;É obrigatória a contratação do seguro de preservação dos imóveis, no entanto essa demanada fica a cargo do locatário.;;;;7742.51;0;0;310933
02.508.235/0001-14;2016-12-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Os contratos são típicos, corrigidos anualmente pela variação positiva do IGPM.;Os seguros são contratados pelos locatários.;;;;15924.63;0;0;749456.33
03.251.720/0001-18;2016-12-31;2;0.02221;0.023;0;0;0;0;0;0;0.035611;0.0368;0;0.0304;0.029435;0.0265;0.025601;0;0.112529;0.1463;0.029005;0;0.018813;0.0194;0.364952;0.3772;0.361845;0.3404;0;0;1;0.988729;;;;;;;Reajuste anual  pelo IGP-M. Todos os contratos possuel multa rescisória equivalente a 3 aluguéis cobhrados proporcionalmente ao tempo decorrido de contrato. Garantia: fiadores PF,Fiadores PJ, carta de fiança bancária e caução em dinheiro. ;O seguro é contrato para cobertura  contra risco de incêndio, raios  e explosão de qualquer natureza de outras coberturas essenciais. A seguro cobre toda a estrutura do imóvel.;;;;17224.72;2383600.48;875432.99;0
03.507.519/0001-59;2016-12-31;2;0.0250558227767168;0.0250075489221727;0.0110847292492307;0.0110633728319138;0.0262554030453496;0.0262048180169152;0.00662640726686507;0.00661364048513129;0.0283063557017296;0.028251819200973;0.0165471476267634;0.016515267029396;0.0271101466256958;0.0270579148037141;0.0114267874483312;0.0114047720038534;0.0228774772740678;0.0228334003335456;0.036928885185018;0.03685773606939;0.0303917442728549;0.0303331899537474;0.198365526058878;0.197983344693817;0.421458395899084;0.420646392179177;0.137565171569416;0.137300131337376;0.9974857227035;0.995594433409197;;;;;;;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-M ou IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;303922.58;0;0;2577831.92
03.683.056/0001-86;2016-12-31;4;;;;;0.26405509106331;0.225312908420528;0.226270535673657;0.193072105814006;0.0804730049406779;0.068665999657535;;;;;0.0655132661479432;0.05590115485553;0.0712315293538615;0.0607804340576517;;;;;;;0.29245657282055;0.249547322657374;;;0.849198118106362;0.744002153382523;;;0.150801881893638;0.132121023905697;;;Os contratos são reajustados anualmente pelo IGP-M e IPCA pelo prazo de 5 anos.;O Fundo de por politica contratar os seguros dos imóveis e cobrar o reembolso do locatários posteriormente;;;;20031.46;0;0;4433229.19
03.855.441/0001-63;2016-12-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A contratação de seguros para a obra é de responsabilidade do locatário.;;;175287.56;0;0;121537719.48
04.066.582/0001-60;2016-12-31;2;;;;;;;;;;;;;;;;;;;;;;;;;0.2001;0.2;;;0.2001;0.2;;;;;;;Os contratos de locação possuem algumas características comuns as quais esta administradora considera relevantes para as locações dos fundos que administra:a) Cláusulas de Benfeitoriasb) Cláusulas de revisão de aluguel - seguindo a legislação vigentec) Tipo de indexador - normalmente indicamos IGPM-FGV como indexador para reajuste de locaçãod) Garantia exigida - as garantias aceitas são garantia bancária (fiança ou seguro fiança) ou deposito cauçãoVale ressaltar que cada contrato é negociado, cláusula a cláusula com o locatário, logo podem haver contratos firmados que não seguem os itens descritos acima a rigor, mas a maioria dos contratos são firmados com considerando os pontos descritos acima.;Para a contratação de seguros, seguimos a política de, após identificar a necessidade de contratação, por meio de controles de prazos de vencimento, providenciar a especificação técnica dos seguros a serem contratados e, na sequência, a solicitação de no mínimo 3 (três) cotações.Com base nos detalhes técnicos, buscamos no mercado empresas que atendam a demanda para a realização das cotações.As propostas devem conter, no mínimo: (a) preço (b) descrição do serviço ou especificação do produto (c) condições de pagamento e (d) prazo de entrega. É aconselhável solicitar ao proponente que a minuta do contrato a ser celebrado seja encaminhada juntamente com a proposta.;;;;12.63;0;0;76142.59
04.141.645/0001-03;2016-12-31;1;;;;;;;;;;;;;;;;;;;;;;;0.41;0.41;0.59;0.59;;;0.626;0.626;;;;;;;Cláusula de reajuste - IGPM, garantia por fiador, seguro fiança ou depósito caução, clausula de rescisão determinando o valor da multa, clausula de exigencia para contratação de seguro patrimonial.;Cláusula de exigencia para a Contratação de seguros das seguintes coberturas para os imóveis locados: Incêndio / Raio / explosão Responsabilidade Civil.;;;;10;0;0;4643751.79
04.722.883/0001-02;2016-12-31;2;0.0696;0.0692;0.0019;0.0019;0.0117;0.0117;;;0.0243;0.0241;;0;0.0127;0.0126;;;0.1015;0.1009;0.0349;0.0347;0.0023;0.0022;;;0.4555;0.4526;0;0;0.5784;0.5747;0.0034;0.0034;0.128;0.1272;;;Os contratos de locação possuem algumas características comuns as quais esta administradora considera relevantes para as locações dos fundos que administra:a) Cláusulas de Benfeitoriasb) Cláusulas de revisão de aluguel - seguindo a legislação vigentec) Tipo de indexador - normalmente indicamos IGPM-FGV como indexador para reajuste de locaçãod) Garantia exigida - as garantias aceitas são garantia bancária (fiança ou seguro fiança) ou deposito cauçãoVale ressaltar que cada contrato é negociado, cláusula a cláusula com o locatário, logo podem haver contratos firmados que não seguem os itens descritos acima a rigor, mas a maioria dos contratos são firmados com considerando os pontos descritos acima.;Para a contratação de seguros, seguimos a política de, após identificar a necessidade de contratação, por meio de controles de prazos de vencimento, providenciar a especificação técnica dos seguros a serem contratados e, na sequência, a solicitação de no mínimo 3 (três) cotações.Com base nos detalhes técnicos, buscamos no mercado empresas que atendam a demanda para a realização das cotações.As propostas devem conter, no mínimo: (a) preço (b) descrição do serviço ou especificação do produto (c) condições de pagamento e (d) prazo de entrega. É aconselhável solicitar ao proponente que a minuta do contrato a ser celebrado seja encaminhada juntamente com a proposta.;;;;201.76;0;648600.5;3356880.07
04.782.236/0001-88;2016-12-31;2;0.118146;0.104088;0.071809;0.063264;0.003644;0.00321;0.004556;0.004014;0.007267;0.006402;0.08452;0.074463;0.023238;0.020473;0.003637;0.003204;0.045099;0.039732;0.03662;0.032262;0.050579;0.044561;0.022708;0.020006;0.523848;0.461515;0.004329;0.003814;1;0.881009;;;;;;;Os Contrato são corrigidos anualmente pelo IGpM,  e possuem multa rescisoria, Garantia nas modalidades Fiadores, Caução em dinheiro, Caução imobiliaria, Carta de Fiança Bancaria e Seguro Fiança.;Seguro contratado pelo condominio, para cobertura conta riscos de incendio, raios, explosões de qualquer natureza e outras cobertura s essenciais.;;;;622464.47;;;3864052.71
05.437.916/0001-27;2016-12-31;1;0;0;0;0;0;0;0;0;0;0;0.090242;0.08919;0.218674;0.216126;0;0;0;0;0.412356;0.407847;0;0;0.157855;0.156015;0.120573;0.119168;0;0;0.878127;0.869178;;;;;;;Todos os contratos possuem cláusula de reajuste anual com indexados índices de IGP-M/FGV e IPC-FIPE e fiadores. Os contratos possuem cláusula de multa rescisória  equivalante a 3(três) aluguéis cobrados proporcionalmente ao tempo decorrido;Para o imóvel localizado no Centro de Distribuição Anhanguera a contratação é feita pelo Fundo e o valor do prêmio repassado aos locatários. Nos Imóveis Torre Altas e CD-RJ as empresas contratam o seguro e enviam a àpolice ao adminsitrador.;;;;2036.49;;551599.15;
05.562.312/0001-02;2016-12-31;2;;;;;;;;;;;;;;;;;;;;;;;;;0.0605;0.0604;;;0.0605;0.0604;;;;;;;Os contratos de locação possuem algumas características comuns as quais esta administradora considera relevantes para as locações dos fundos que administra:a) Cláusulas de Benfeitoriasb) Cláusulas de revisão de aluguel - seguindo a legislação vigentec) Tipo de indexador - normalmente indicamos IGPM-FGV como indexador para reajuste de locaçãod) Garantia exigida - as garantias aceitas são garantia bancária (fiança ou seguro fiança) ou deposito cauçãoVale ressaltar que cada contrato é negociado, cláusula a cláusula com o locatário, logo podem haver contratos firmados que não seguem os itens descritos acima a rigor, mas a maioria dos contratos são firmados com considerando os pontos descritos acima.;Para a contratação de seguros, seguimos a política de, após identificar a necessidade de contratação, por meio de controles de prazos de vencimento, providenciar a especificação técnica dos seguros a serem contratados e, na sequência, a solicitação de no mínimo 3 (três) cotações.Com base nos detalhes técnicos, buscamos no mercado empresas que atendam a demanda para a realização das cotações.As propostas devem conter, no mínimo: (a) preço (b) descrição do serviço ou especificação do produto (c) condições de pagamento e (d) prazo de entrega. É aconselhável solicitar ao proponente que a minuta do contrato a ser celebrado seja encaminhada juntamente com a proposta.;;;;4274.28;0;1458818.69;0
06.175.262/0001-73;2016-12-31;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;Reajuste anual por indexador vinculado à inflação (IGP-M ou IPCA). Todos contratos típicos de locação, multa em caso de rescisão antecipada equivalente a 3 meses do valor do aluguel à época, calculados de maneira proporcional ao decurso do prazo do contrato.;Seguros patrimoniais, incluindo lucros cessantes ao locador em caso de sinistro parcial, contratados diretamente pelos inquilinos, incluindo cláusula beneficiária para o Fundo.;;;;24799.66;;;378858.42
07.000.400/0001-46;2016-12-31;1;;;;;;;;;;;;;;;;;;;;;;;;;1;0.946344;;;0.946344;1;;;;;;;O contrato é reajusta anualmente em função da variação positiva do Índice Geral De Preços do Mercado - IGP-M/FGV. Em caso de rescisão antecipada do contrato de locação, o locatário está obrigado a promover o pagamento, mês a mês, o aluguel mensal vigente das áreas locadas, até completar o período de locação.O contrato não prevê a constituição de garantias para o cumprimento das obrigações do locatário.;Nos dois imóveis deverá ser feito pelo locatário o seguro das áreas locadas, com seguradora de primeira linha, contra risco de incêndio, raio ou explosão e de perda dos aluguéis em caso de sinistro, sendo o locador o beneficiário. O valor a ser contratado deverá ser de compatível com a área ocupada multiplicada por duas vezes o valor do CUPE/FIPE, reajustado anualmente pela variação do mesmo índice.;;;;1305021.9;18854754.36;;
07.122.725/0001-00;2016-12-31;2;;;;;;;;;;;;;;;;;;;;;;;;;0.9903;0.9849;0.0096;0.0096;1;0.9945;;;;;;;Os contratos de locação possuem algumas características comuns as quais esta administradora considera relevantes para as locações dos fundos que administra:a) Cláusulas de Benfeitoriasb) Cláusulas de revisão de aluguel - seguindo a legislação vigentec) Tipo de indexador - normalmente indicamos IGPM-FGV como indexador para reajuste de locaçãod) Garantia exigida - as garantias aceitas são garantia bancária (fiança ou seguro fiança) ou deposito cauçãoVale ressaltar que cada contrato é negociado, cláusula a cláusula com o locatário, logo podem haver contratos firmados que não seguem os itens descritos acima a rigor, mas a maioria dos contratos são firmados com considerando os pontos descritos acima.;Para a contratação de seguros, seguimos a política de, após identificar a necessidade de contratação, por meio de controles de prazos de vencimento, providenciar a especificação técnica dos seguros a serem contratados e, na sequência, a solicitação de no mínimo 3 (três) cotações.Com base nos detalhes técnicos, buscamos no mercado empresas que atendam a demanda para a realização das cotações.As propostas devem conter, no mínimo: (a) preço (b) descrição do serviço ou especificação do produto (c) condições de pagamento e (d) prazo de entrega. É aconselhável solicitar ao proponente que a minuta do contrato a ser celebrado seja encaminhada juntamente com a proposta.;;;;2544.06;0;3442354.03;0
07.224.019/0001-60;2016-12-31;2;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2081;0.2071;0.0091;0.0091;0.0031;0.003;0.1939;0.193;;;Os contratos de locação possuem algumas características comuns as quais esta administradora considera relevantes para as locações dos fundos que administra:a) Cláusulas de Benfeitoriasb) Cláusulas de revisão de aluguel - seguindo a legislação vigentec) Tipo de indexador - normalmente indicamos IGPM-FGV como indexador para reajuste de locaçãod) Garantia exigida - as garantias aceitas são garantia bancária (fiança ou seguro fiança) ou deposito cauçãoVale ressaltar que cada contrato é negociado, cláusula a cláusula com o locatário, logo podem haver contratos firmados que não seguem os itens descritos acima a rigor, mas a maioria dos contratos são firmados com considerando os pontos descritos acima.;Para a contratação de seguros, seguimos a política de, após identificar a necessidade de contratação, por meio de controles de prazos de vencimento, providenciar a especificação técnica dos seguros a serem contratados e, na sequência, a solicitação de no mínimo 3 (três) cotações.Com base nos detalhes técnicos, buscamos no mercado empresas que atendam a demanda para a realização das cotações.As propostas devem conter, no mínimo: (a) preço (b) descrição do serviço ou especificação do produto (c) condições de pagamento e (d) prazo de entrega. É aconselhável solicitar ao proponente que a minuta do contrato a ser celebrado seja encaminhada juntamente com a proposta.;;;;90;0;0;15700276.74
07.352.632/0001-63;2016-12-31;2;0.0315;0.0313;0.0245;0.0244;0.0579;0.0575;0.0084;0.0083;0.0196;0.0194;;;;;;;;;;;;;;;0.07;0.0695;0.7976;0.7917;1;1;;;;;;;Os contratos de locação possuem algumas características comuns as quais esta administradora considera relevantes para as locações dos fundos que administra:a) Cláusulas de Benfeitoriasb) Cláusulas de revisão de aluguel - seguindo a legislação vigentec) Tipo de indexador - normalmente indicamos IGPM-FGV como indexador para reajuste de locaçãod) Garantia exigida - as garantias aceitas são garantia bancária (fiança ou seguro fiança) ou deposito cauçãoVale ressaltar que cada contrato é negociado, cláusula a cláusula com o locatário, logo podem haver contratos firmados que não seguem os itens descritos acima a rigor, mas a maioria dos contratos são firmados com considerando os pontos descritos acima.;Para a contratação de seguros, seguimos a política de, após identificar a necessidade de contratação, por meio de controles de prazos de vencimento, providenciar a especificação técnica dos seguros a serem contratados e, na sequência, a solicitação de no mínimo 3 (três) cotações.Com base nos detalhes técnicos, buscamos no mercado empresas que atendam a demanda para a realização das cotações.As propostas devem conter, no mínimo: (a) preço (b) descrição do serviço ou especificação do produto (c) condições de pagamento e (d) prazo de entrega. É aconselhável solicitar ao proponente que a minuta do contrato a ser celebrado seja encaminhada juntamente com a proposta.;;;;613.85;0;0;47766.87
07.583.627/0001-61;2016-12-31;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;1;;;Em 03/10/2005, foi firmado entre a Companhia Brasileira de Distribuição (CBD/Vendedora) e o Banco Ourinvest na qualidade de instituição administradora do Fundo de Investimento Imobiliário Península (Fundo/Comprador) Compromisso Irrevogável e Irretratável de Compra e Venda de Bem Imóvel de 60 lojas, que será pago em 240 parcelas, atualizadas anualmente pelo IPCA (Índice de Preços ao Consumidor Amplo). Adicionalmente, foi firmado contrato de aluguel entre a Vendedora e a Compradora, de 62 imóveis, atualizado anualmente pelo IPCA (Índice de Preços ao Consumidor Amplo).;Os 62 imóveis possuem cobertura de seguro de riscos operacionais: - danos materiais + lucros cessantes combinados. Período indenitário = 18 meses contratado a 1º risco absoluto - incêndio, raio, explosão de qualquer natureza, danos elétricos, vendaval, furacão, ciclone, granizo e inundação.;;;;6646.85;0;14477931.12;0
07.789.135/0001-27;2016-12-31;3;0.0727;0.0474;0.0266;0.0173;0.0284;0.0185;0.0514;0.0335;0.023;0.015;0.0266;0.0173;0.0284;0.0185;0.0301;0.0197;0.039;0.0254;0.0372;0.0243;0.0372;0.0243;0.0355;0.0231;0.3918;0.2556;0.1721;0.1124;0.6082;0.3967;0.0018;0.0012;0.0071;0.0046;0;0;Seguem as principais características padrões dos contratos de locações no âmbito do FII Ancar IC: Cláusulas de reajustes anuais por algum índice de inflação, os indexadores normalmente praticados para reajuste são IGP-M e IGP-DI, como garantia, exigi-se que haja fiador e nas cláusulas de rescisão há cobrança de multa, normalmente equivalente 3 alugueres.;Informamos que todas as propriedades para investimentos detidas pelo FII Ancar IC são seguradas por apólices emitidas por seguradoras de primeira linha e cujas coberturas e valores atendem ao objeto social das mesmas.;;;;407.3;;;40211334.41
