CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Ativo;Percentual_Garantido_Relativo;Garantidor;Principais_Caracteristicas_Garantia
36.200.677/0001-10;2023-06-30;1;CLE - Centro Logísntico Embu;0.010164;SANCA GTIS EMBU EMPREENDIMENTOS LTDA.;Receita de locação, condomínio e IPTU (e Foro, quando aplicável) de áreas vagas na data da aquisição, até outubro de 2022, e valor variável mensal até outubro de 2023. % garantido relativo = receita garantida (imóvel) / receita total (imóvel)
36.517.660/0001-91;2023-03-31;1;Cyrela for you;0.0067;Vendedor;O pagamento de renda garantida será sobre todos os valores efetivamente recebidos pela VENDEDORA de acordo com as parcelas acordadas, durante o periodo de construção.
36.517.660/0001-91;2023-06-30;1;Cyrela for you;0.0067;Vendedor;O pagamento de renda garantida será sobre todos os valores efetivamente recebidos pela VENDEDORA de acordo com as parcelas acordadas, durante o periodo de construção.
36.517.660/0001-91;2023-09-30;1;Cyrela for you;0.0067;Vendedor;O pagamento de renda garantida será sobre todos os valores efetivamente recebidos pela VENDEDORA de acordo com as parcelas acordadas, durante o periodo de construção.
36.517.660/0001-91;2023-12-31;1;Cyrela for you;0.0067;Vendedor;O pagamento de renda garantida será sobre todos os valores efetivamente recebidos pela VENDEDORA de acordo com as parcelas acordadas, durante o periodo de construção.
36.930.464/0001-44;2023-03-31;1;Condomínio Logístico Cariacica 01;0.132684;CLCR1 EMPREENDIMENTOS IMOBILIARIOS S.A.;Será garantida a rentabilidade da área vaga do galpão 1A, pelo valor de R$20,00/m² pelo prazo de 12 meses a partir da competência de março/23, inclusive.
36.930.464/0001-44;2023-06-30;1;Condomínio Logístico Cariacica 01;0.132684;CLCR1 EMPREENDIMENTOS IMOBILIARIOS S.A.;Será garantida a rentabilidade da área vaga do galpão 1A, pelo valor de R$20,00/m² pelo prazo de 12 meses a partir da competência de março/23, inclusive.
36.930.464/0001-44;2023-09-29;1;Condomínio Logístico Cariacica 01;0.132684;CLCR1 EMPREENDIMENTOS IMOBILIARIOS S.A.;Será garantida a rentabilidade da área vaga do galpão 1A, pelo valor de R$20,00/m² pelo prazo de 12 meses a partir da competência de março/23, inclusive.
36.930.464/0001-44;2023-12-31;1;Condomínio Logístico Cariacica 01;0.132684;CLCR1 EMPREENDIMENTOS IMOBILIARIOS S.A.;Será garantida a rentabilidade da área vaga do galpão 1A, pelo valor de R$20,00/m² pelo prazo de 12 meses a partir da competência de março/23, inclusive.
42.869.869/0001-17;2023-03-31;1;Edifício Sompo Seguros;1;Sompo Seguros;A Vendedora garantiu ao Fundo uma renda mínima garantida mensal equivalente a R$1.027.816,80 (um milhão, vinte e sete mil, oitocentos e dezesseis reais e oitenta centavos) ("RMG"), pelo prazo de 36 (trinta e seis) meses contados da lavratura da Escritura Definitiva ("Período de RMG")
42.869.869/0001-17;2023-06-30;1;Edifício Sompo Seguros;1;Sompo Seguros;A Vendedora garantiu ao Fundo uma renda mínima garantida mensal equivalente a R$1.027.816,80 (um milhão, vinte e sete mil, oitocentos e dezesseis reais e oitenta centavos) ("RMG"), pelo prazo de 36 (trinta e seis) meses contados da lavratura da Escritura Definitiva ("Período de RMG")
42.869.869/0001-17;2023-09-30;1;Edifício Sompo Seguros;1;Sompo Seguros;A Vendedora garantiu ao Fundo uma renda mínima garantida mensal equivalente a R$1.027.816,80 (um milhão, vinte e sete mil, oitocentos e dezesseis reais e oitenta centavos) ("RMG"), pelo prazo de 36 (trinta e seis) meses contados da lavratura da Escritura Definitiva ("Período de RMG")
42.869.869/0001-17;2023-12-31;1;Edifício Sompo Seguros;1;Sompo Seguros;A Vendedora garantiu ao Fundo uma renda mínima garantida mensal equivalente a R$1.027.816,80 (um milhão, vinte e sete mil, oitocentos e dezesseis reais e oitenta centavos) ("RMG"), pelo prazo de 36 (trinta e seis) meses contados da lavratura da Escritura Definitiva ("Período de RMG")
43.010.844/0001-26;2023-03-31;1;Hotel Selina;1;Gamaro;Garantia por 36 meses desde a efetiva aquisição do ativo, tendo valor médio mensal garantido no perído de R$200.000,00 que cobre tanto risco de inadimplência e quanto vacância.
43.010.844/0001-26;2023-06-30;1;Hotel Selina;1;Gamaro;Garantia por 36 (trinta e seis) meses desde a efetiva aquisição do ativo, tendo o valor médio mensal garantido no período de R$ 200.000,00, que cobre tanto risco de inadimplência quanto de vacância.
43.010.844/0001-26;2023-09-30;1;Hotel Selina;1;Gamaro;Garantia por 36 meses desde a efetiva aquisição do ativo, tendo valor médio mensal garantido no perído de R$200.000,00 que cobre tanto risco de inadimplência e quanto vacância.
43.010.844/0001-26;2023-12-31;2;Hotel Selina;1;Gamaro;Garantia por 36 meses desde a efetiva aquisição do ativo, tendo valor médio mensal garantido no perído de R$200.000,00 que cobre tanto risco de inadimplência e quanto vacância
52.219.978/0001-42;2023-12-29;1;Alameda Santos;0.15;São Carlos Empreendimentos e Participações S.A.;Renda Mínima Garantida limitada a R$ 93.000.000,00 para os  quatro imóveis  adquiridos para compor a rentabilidade alvo do Fundo.
52.219.978/0001-42;2023-12-29;1;Corporate Plaza;0.15;São Carlos Empreendimentos e Participações S.A.;Renda Mínima Garantida limitada a R$ 93.000.000,00 para os  quatro imóveis  adquiridos para compor a rentabilidade alvo do Fundo.
52.219.978/0001-42;2023-12-29;1;Centro Empresarial Botafogo;0.15;São Carlos Empreendimentos e Participações S.A.;Renda Mínima Garantida limitada a R$ 93.000.000,00 para os  quatro imóveis  adquiridos para compor a rentabilidade alvo do Fundo.
52.219.978/0001-42;2023-12-29;1;Morumbi Office Tower;0.15;São Carlos Empreendimentos e Participações S.A.;Renda Mínima Garantida limitada a R$ 93.000.000,00 para os  quatro imóveis  adquiridos para compor a rentabilidade alvo do Fundo.
