CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Ativo;Percentual_Garantido_Relativo;Garantidor;Principais_Caracteristicas_Garantia
32.892.018/0001-31;2022-09-30;1;SHOPPING UBERABA;;Vendedoras do Imóvel;A estrutura obrigam as vendedoras do imóvel, a garantir uma renda ao Comprador de modo a recompor o NOI do Shopping Uberaba no prazo de 24 meses, no valor de R$ 29.133.376,46 (vinte e nove milhões, cento e trinta e três mil, trezentos e setenta e seis reais e quarenta e seis centavos) por ano.
32.892.018/0001-31;2022-12-31;1;SHOPPING PARALELA;;HSI V Real Estate FI em Participações - Multiestratégia.;A estrutura garantirá 8% (oito por cento) do Preço ao ano por 3 (três) anos sem limite máximo de valor, o equivalente a uma Renda fixa no primeiro ano de R$ 34.617.697,00 (trinta e quatro milhões, seiscentos e dezessete mil seiscentos e noventa e sete reais). A partir do segundo e terceiro ano, o montante do primeiro ano será corrigido pela variação do IPCA no período.
32.892.018/0001-31;2022-12-31;1;SHOPPING UBERABA;;Vendedoras do Imóvel;A estrutura obrigam as vendedoras do imóvel, a garantir uma renda ao Comprador de modo a recompor o NOI do Shopping Uberaba no prazo de 24 meses, no valor de R$ 29.133.376,46 (vinte e nove milhões, cento e trinta e três mil, trezentos e setenta e seis reais e quarenta e seis centavos) por ano.
32.903.702/0001-71;2022-03-31;1;Galpão Santo André;;HSI LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;As Partes reconhecem, de forma expressa, que, apesar do valor nominal do aluguel (sempre pelo regime de competência) a partir de julho de 2022 ser de R$ 473.039,00 (quatrocentos e setenta e três mil e trinta e nove) ("Valor Nominal"), o valor a ser pago pelo Locatário será de R$ 390.903,99 (trezentos e noventa mil, novecentos e três reais e noventa e nove centavos) até dezembro de 2021 e R$ 430.070,44 (quatrocentos e trinta mil, setenta reais e quarenta e quatro centavos) entre janeiro de 2022 e junho de 2022. Assim, a diferença entre o Valor Nominal e o valor pago pelo Locatário até julho de 2022 será complementado mensalmente pelo VENDEDOR e por este pago ao COMPRADOR, em todo dia 15 de cada mês, com início em fevereiro/2022 e último pagamento em julho/2022 através de TED para a conta corrente de titularidade do COMPRADOR.
32.903.702/0001-71;2022-06-30;1;Galpão Santo André;;HSI LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;As Partes reconhecem, de forma expressa, que, apesar do valor nominal do aluguel (sempre pelo regime de competência) a partir de julho de 2022 ser de R$ 473.039,00 (quatrocentos e setenta e três mil e trinta e nove) ("Valor Nominal"), o valor a ser pago pelo Locatário será de R$ 390.903,99 (trezentos e noventa mil, novecentos e três reais e noventa e nove centavos) até dezembro de 2021 e R$ 430.070,44 (quatrocentos e trinta mil, setenta reais e quarenta e quatro centavos) entre janeiro de 2022 e junho de 2022. Assim, a diferença entre o Valor Nominal e o valor pago pelo Locatário até julho de 2022 será complementado mensalmente pelo VENDEDOR e por este pago ao COMPRADOR, em todo dia 15 de cada mês, com início em fevereiro/2022 e último pagamento em julho/2022 através de TED para a conta corrente de titularidade do COMPRADOR.
32.903.702/0001-71;2022-09-30;1;Galpão Santo André;;HSI LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;As Partes reconhecem, de forma expressa, que, apesar do valor nominal do aluguel (sempre pelo regime de competência) a partir de julho de 2022 ser de R$ 473.039,00 (quatrocentos e setenta e três mil e trinta e nove) ("Valor Nominal"), o valor a ser pago pelo Locatário será de R$ 390.903,99 (trezentos e noventa mil, novecentos e três reais e noventa e nove centavos) até dezembro de 2021 e R$ 430.070,44 (quatrocentos e trinta mil, setenta reais e quarenta e quatro centavos) entre janeiro de 2022 e junho de 2022. Assim, a diferença entre o Valor Nominal e o valor pago pelo Locatário até julho de 2022 será complementado mensalmente pelo VENDEDOR e por este pago ao COMPRADOR, em todo dia 15 de cada mês, com início em fevereiro/2022 e último pagamento em julho/2022 através de TED para a conta corrente de titularidade do COMPRADOR.
35.652.102/0001-76;2022-03-31;1;Union Faria Lima;1;Dublin Empreendimento Imobiliário SPE S/A;Imóvel ainda em construção com 100% de renda garantida pelo vendedor proporcional à participação de 50% do VBI Prime FII na posse do imóvel.
35.652.102/0001-76;2022-03-31;1;Complexo JK - Torre B;1;BR Properties;Imóvel pronto com 100% de renda garantida pelo vendedor proporcional à participação de 20% do VBI Prime FII na posse do imóvel.
35.652.102/0001-76;2022-09-30;1;Union Faria Lima;1;Dublin Empreendimento Imobiliário SPE S/A;Imóvel ainda em construção com 100% de renda garantida pelo vendedor proporcional à participação de 50% do VBI Prime FII na posse do imóvel.
35.652.102/0001-76;2022-09-30;1;Complexo JK - Torre B;1;BR Properties S.A.;Imóvel pronto com 100% de renda garantida pelo vendedor proporcional à participação de 20% do VBI Prime FII na posse do imóvel.
35.754.164/0001-99;2022-03-31;1;Ribeirão das Neves;0.17;Vendedor do imóvel;Pelo prazo de 18 meses a partir de agosto de 2020.
35.754.164/0001-99;2022-09-30;1;Ribeirão das Neves;0.17;Vendedor do imóvel;Pelo prazo de 18 meses a partir de agosto de 2020.
35.754.164/0001-99;2022-12-31;1;Ribeirão das Neves;0.17;Vendedor do imóvel;Pelo prazo de 18 meses a partir de agosto de 2020.
36.200.677/0001-10;2022-03-31;1;DCB - Distribution Center Barueri;0.081171;DISTRIBUTION CENTER BARUERI EMPREENDIMENTOS IMOBILIARIOS S.A;Receita de locação, condomínio e IPTU (e Foro, quando aplicável) de áreas vagas na data da aquisição. Por até 24 meses e após aquisição para determinados eventos. % garantido relativo = receita garantida / receita total
36.200.677/0001-10;2022-03-31;1;DCC - Distribution Center Cajamar;0.160555;BREF IIII FIP MULTIESTRATÉGIA;Receita de locação, condomínio e IPTU (e Foro, quando aplicável) de áreas vagas na data da aquisição. Por até 24 meses e após aquisição para determinados eventos. % garantido relativo = receita garantida / receita total
36.200.677/0001-10;2022-03-31;1;DCR - Distribution Center Rodoanel;0.00418;SANCA GTIS EMBU II EMPREENDIMENTOS LTDA.;Receita de locação, condomínio e IPTU (e Foro, quando aplicável) de áreas vagas na data da aquisição. Por até 24 meses e após aquisição para determinados eventos. % garantido relativo = receita garantida / receita total
36.200.677/0001-10;2022-03-31;1;CLE - Centro Logísntico Embu;0.205978;SANCA GTIS EMBU EMPREENDIMENTOS LTDA.;Receita de locação, condomínio e IPTU (e Foro, quando aplicável) de áreas vagas na data da aquisição. Por até 24 meses e após aquisição para determinados eventos. % garantido relativo = receita garantida / receita total
36.200.677/0001-10;2022-06-30;1;DCB - Distribution Center Barueri;0.048532;DISTRIBUTION CENTER BARUERI EMPREENDIMENTOS IMOBILIARIOS S.A;Descontos concedidos em determinados contratos de locação até termino dos descontos, julho de 2023, e valor variavel mensal até outubro de 2023. % garantido relativo = receita garantida (imovel) / receita total (imovel).
36.200.677/0001-10;2022-06-30;1;DCC - Distribution Center Cajamar;0.081389;BREF IIII FIP MULTIESTRATÉGIA;Receita de locação, condomínio e IPTU (e Foro, quando aplicável) de áreas vagas na data da aquisição, até outubro de 2023 e valor variável mensal até outubro de 2023. % garantido relativo = receita garantida (imóvel) / receita total (imóvel).
36.200.677/0001-10;2022-06-30;1;DCR - Distribution Center Rodoanel;0.00306;SANCA GTIS EMBU II EMPREENDIMENTOS LTDA.;Valor variável mensal até outubro de 2023 .% garantido relativo = receita garantida (imóvel) / receita total (imóvel).
36.200.677/0001-10;2022-06-30;1;CLE - Centro Logísntico Embu;0.189021;SANCA GTIS EMBU EMPREENDIMENTOS LTDA.;Receita de locação, condomínio e IPTU (e Foro, quando aplicável) de áreas vagas na data da aquisição, até outubro de 2022, e valor variável mensal até outubro de 2023. % garantido relativo = receita garantida (imóvel) / receita total (imóvel).
36.200.677/0001-10;2022-09-30;1;DCB - Distribution Center Barueri;0.049017;DISTRIBUTION CENTER BARUERI EMPREENDIMENTOS IMOBILIARIOS S.A;Descontos concedidos em determinados contratos de locação até término dos descontos, julho de 2023, e valor variável mensal até outubro de 2023. % garantido relativo = receita garantida (imóvel) / receita total (imóvel)
36.200.677/0001-10;2022-09-30;1;DCC - Distribution Center Cajamar;0.079112;BREF IIII FIP MULTIESTRATÉGIA;Receita de locação, condomínio e IPTU (e Foro, quando aplicável) de áreas vagas na data da aquisição, até outubro de 2023 e valor variável mensal até outubro de 2023. % garantido relativo = receita garantida (imóvel) / receita total (imóvel)
36.200.677/0001-10;2022-09-30;1;DCR - Distribution Center Rodoanel;0.009227;SANCA GTIS EMBU II EMPREENDIMENTOS LTDA.;Valor variável mensal até outubro de 2023 .% garantido relativo = receita garantida (imóvel) / receita total (imóvel)
36.200.677/0001-10;2022-09-30;1;CLE - Centro Logísntico Embu;0.201221;SANCA GTIS EMBU EMPREENDIMENTOS LTDA.;Receita de locação, condomínio e IPTU (e Foro, quando aplicável) de áreas vagas na data da aquisição, até outubro de 2022, e valor variável mensal até outubro de 2023. % garantido relativo = receita garantida (imóvel) / receita total (imóvel)
36.200.677/0001-10;2022-12-31;2;DCB - Distribution Center Barueri;0.049017;DISTRIBUTION CENTER BARUERI EMPREENDIMENTOS IMOBILIARIOS S.A;Descontos concedidos em determinados contratos de locação até término dos descontos, julho de 2023, e valor variável mensal até outubro de 2023. % garantido relativo = receita garantida (imóvel) / receita total (imóvel)
36.200.677/0001-10;2022-12-31;2;DCC - Distribution Center Cajamar;0.041432;BREF IIII FIP MULTIESTRATÉGIA;Receita de locação, condomínio e IPTU (e Foro, quando aplicável) de áreas vagas na data da aquisição, até outubro de 2023 e valor variável mensal até outubro de 2023. % garantido relativo = receita garantida (imóvel) / receita total (imóvel)
36.200.677/0001-10;2022-12-31;2;DCR - Distribution Center Rodoanel;0.008881;SANCA GTIS EMBU II EMPREENDIMENTOS LTDA.;Valor variável mensal até outubro de 2023 .% garantido relativo = receita garantida (imóvel) / receita total (imóvel)
36.200.677/0001-10;2022-12-31;2;CLE - Centro Logísntico Embu;0.043066;SANCA GTIS EMBU EMPREENDIMENTOS LTDA.;Receita de locação, condomínio e IPTU (e Foro, quando aplicável) de áreas vagas na data da aquisição, até outubro de 2022, e valor variável mensal até outubro de 2023. % garantido relativo = receita garantida (imóvel) / receita total (imóvel)
36.517.660/0001-91;2022-03-31;1;Urbic Sabia;0.0067;Vendedor;O pagamento de renda garantida será sobre todos os valores efetivamente recebidos pelaVENDEDORA de acordo com as parcelas acordadas, durante o periodo de contrução
36.517.660/0001-91;2022-03-31;1;Cyrela for you;0.0067;Vendedor;O pagamento de renda garantida será sobre todos os valores efetivamente recebidos pelaVENDEDORA de acordo com as parcelas acordadas, durante o periodo de contrução
36.517.660/0001-91;2022-06-30;1;Urbic Sabia;0.0067;Vendedor;O pagamento de renda garantida será sobre todos os valores efetivamente recebidos pela VENDEDORA de acordo com as parcelas acordadas, durante o periodo de construção.
36.517.660/0001-91;2022-06-30;1;Cyrela for you;0.0067;Vendedor;O pagamento de renda garantida será sobre todos os valores efetivamente recebidos pela VENDEDORA de acordo com as parcelas acordadas, durante o periodo de construção.
36.517.660/0001-91;2022-09-30;1;Urbic Sabia;0.0067;Vendedor;O pagamento de renda garantida será sobre todos os valores efetivamente recebidos pela VENDEDORA de acordo com as parcelas acordadas, durante o periodo de construção.
36.517.660/0001-91;2022-09-30;1;Cyrela for you;0.0067;Vendedor;O pagamento de renda garantida será sobre todos os valores efetivamente recebidos pela VENDEDORA de acordo com as parcelas acordadas, durante o periodo de construção.
36.517.660/0001-91;2022-12-31;1;Cyrela for you;0.0067;Vendedor;O pagamento de renda garantida será sobre todos os valores efetivamente recebidos pela VENDEDORA de acordo com as parcelas acordadas, durante o periodo de construção.
38.294.086/0001-85;2022-03-31;1;Complexo Rochaverá - Torres A & B;0.009756;Mirae Asset Maps Asia Pacific Real Estate;Aquisição de Imóveis
42.869.869/0001-17;2022-12-31;1;Edifício Sompo Seguros;1;Sompo Seguros;A Vendedora garantiu ao Fundo uma renda mínima garantida mensal equivalente a R$1.027.816,80 (um milhão, vinte e sete mil, oitocentos e dezesseis reais e oitenta centavos) ("RMG"), pelo prazo de 36 (trinta e seis) meses contados da lavratura da Escritura Definitiva ("Período de RMG")
