CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Percentual_Garantido_Relativo;Garantidor;Principais_Caracteristicas_Garantia
16.915.868/0001-51;2017-06-30;1;SPE HOLDING FAZENDA BOA VISTA LTDA.;0.01;JHSF PARTICIPAÇÕES S.A.;A rentabilidade mínima mensal a ser garantida pelas Sociedades e pela JHSF ao Veículo de Investimento, nos termos das SCP, para que permita a este distribuir ao Fundo, após deduzidas todas as despesas aplicáveis, recursos suficientes para a distribuição de rendimentos aos Cotistas no montante correspondente à variação acumulada do IPCA/IBGE, acrescido de 1 % (um por cento) ao ano, calculada desde a última distribuição mensal de rendimentos até a efetiva data de distribuição de rendimentos do mês emquestão sobre o valor do Capital Investido.  Nos termos das SCP, estas deverão realizar pagamentos mensais ao Veículo de Investimento e/ou diretamente ao Fundo, em valor suficiente para que este último distribua aos seus Cotistas a Rentabilidade Mínima, sendo tal obrigação garantida pela fiança a ser prestada pelo Empreendedor no âmbito do Acordo de Investimento.
16.915.868/0001-51;2017-09-30;1;SPE HOLDING FAZENDA BOA VISTA LTDA.;0.01;JHSF PARTICIPAÇÕES S.A.;A rentabilidade mínima mensal a ser garantida pelas Sociedades e pela JHSF ao Veículo de Investimento, nos termos das SCP, para que permita a este distribuir ao Fundo, após deduzidas todas as despesas aplicáveis, recursos suficientes para a distribuição de rendimentos aos Cotistas no montante correspondente à variação acumulada do IPCA/IBGE, acrescido de 1 % (um por cento) ao ano, calculada desde a última distribuição mensal de rendimentos até a efetiva data de distribuição de rendimentos do mês emquestão sobre o valor do Capital Investido.  Nos termos das SCP, estas deverão realizar pagamentos mensais ao Veículo de Investimento e/ou diretamente ao Fundo, em valor suficiente para que este último distribua aos seus Cotistas a Rentabilidade Mínima, sendo tal obrigação garantida pela fiança a ser prestada pelo Empreendedor no âmbito do Acordo de Investimento.
16.915.868/0001-51;2017-12-29;4;SPE HOLDING FAZENDA BOA VISTA LTDA.;0.01;JHSF PARTICIPAÇÕES S.A.;A rentabilidade mínima mensal a ser garantida pelas Sociedades e pela JHSF ao Veículo de Investimento, nos termos das SCP, para que permita a este distribuir ao Fundo, após deduzidas todas as despesas aplicáveis, recursos suficientes para a distribuição de rendimentos aos Cotistas no montante correspondente à variação acumulada do IPCA/IBGE, acrescido de 1 % (um por cento) ao ano, calculada desde a última distribuição mensal de rendimentos até a efetiva data de distribuição de rendimentos do mês emquestão sobre o valor do Capital Investido.  Nos termos das SCP, estas deverão realizar pagamentos mensais ao Veículo de Investimento e/ou diretamente ao Fundo, em valor suficiente para que este último distribua aos seus Cotistas a Rentabilidade Mínima, sendo tal obrigação garantida pela fiança a ser prestada pelo Empreendedor no âmbito do Acordo de Investimento.
17.098.794/0001-70;2017-09-30;1;FDO INV IMOB GENERAL SHOPPING ATIVO E RENDA - FII - FIGS11;0.1;General Shopping Brasil;A empresa oferecerá rentabilidade de 10% a.a. durante 48 meses após a inauguração do Parque Shopping Maia, localizado em Guarulhos. A rentabilidade garantida terminará em abril/2019
17.098.794/0001-70;2017-12-29;2;FDO INV IMOB GENERAL SHOPPING ATIVO E RENDA - FII - FIGS11;0.1;General Shopping Brasil;A empresa oferecerá rentabilidade de 10% a.a. durante 48 meses após a inauguração do Parque Shopping Maia, localizado em Guarulhos. A rentabilidade garantida terminará em abril/2019
17.311.079/0001-74;2017-03-31;2;Praça Capital - Bloco 02;1;A incorporadora;Prêmio de locação pago ao fundo em benefício dos cotistas desde a data de recebimento do preço de aquisição até os 12 (doze) meses consecutivos à data de obtenção do habite-se frequência mensal calculado pro rata temporis taxa de 9,5% a.a. calculado com capitalização composta com base em um ano de 252 dias úteis.
17.311.079/0001-74;2017-06-30;1;Praça Capital - Bloco 02;1;A incorporadora;Prêmio de locação pago ao fundo em benefício dos cotistas desde a data de recebimento do preço de aquisição até os 12 (doze) meses consecutivos à data de obtenção do habite-se frequência mensal calculado pro rata temporis taxa de 9,5% a.a. calculado com capitalização composta com base em um ano de 252 dias úteis.
17.311.079/0001-74;2017-09-29;1;Praça Capital - Bloco 02;1;A incorporadora;Prêmio de locação pago ao fundo em benefício dos cotistas desde a data de recebimento do preço de aquisição até os 12 (doze) meses consecutivos à data de obtenção do habite-se frequência mensal calculado pro rata temporis taxa de 9,5% a.a. calculado com capitalização composta com base em um ano de 252 dias úteis.
17.311.079/0001-74;2017-12-31;1;Praça Capital - Bloco 02;1;A incorporadora;Prêmio de locação pago ao fundo em benefício dos cotistas desde a data de recebimento do preço de aquisição até os 12 (doze) meses consecutivos à data de obtenção do habite-se frequência mensal calculado pro rata temporis taxa de 9,5% a.a. calculado com capitalização composta com base em um ano de 252 dias úteis.
17.590.518/0001-25;2017-03-31;2;VUL ADM E INCORPORAD;0;GENERAL SHOPPING BRASIL S.A.;No Prospecto de Distruição Pública de Cotas foi acordado o pagamento do valor de R$ 10,00 por cota ao ano, equivalente a R$ 0,83 por cota/mês a título de renda mínima garantida, com término em 48 meses após a inauguração do Parque Shopping Maia (término previsto para abril/19)
17.590.518/0001-25;2017-06-30;3;VUL ADM E INCORPORAD;0;GENERAL SHOPPING BRASIL S.A.;No Prospecto de Distruição Pública de Cotas foi acordado o pagamento do valor de R$ 10,00 por cota ao ano, equivalente a R$ 0,83 por cota/mês a título de renda mínima garantida, com término em 48 meses após a inauguração do Parque Shopping Maia (término previsto para abril/19)
17.590.518/0001-25;2017-09-30;2;VUL ADM E INCORPORAD;0;GENERAL SHOPPING BRASIL S.A.;No Prospecto de Distruição Pública de Cotas foi acordado o pagamento do valor de R$ 10,00 por cota ao ano, equivalente a R$ 0,83 por cota/mês a título de renda mínima garantida, com término em 48 meses após a inauguração do Parque Shopping Maia (término previsto para abril/19)
17.590.518/0001-25;2017-12-31;4;VUL ADM E INCORPORAD;0;GENERAL SHOPPING BRASIL S.A.;No Prospecto de Distruição Pública de Cotas foi acordado o pagamento do valor de R$ 10,00 por cota ao ano, equivalente a R$ 0,83 por cota/mês a título de renda mínima garantida, com término em 48 meses após a inauguração do Parque Shopping Maia (término previsto para abril/19)
18.330.535/0001-96;2017-03-31;2;Shopping Praça Rio Grande;0.00958293747586423;Vendedor ( 5R Shopping Centers Ltda);Conforme a Escritura de Compra e Venda de 24 de setembro de 2014, o Vendedor do Empreendimento , se compromete a pagar mensalmente ao Fundo entre o período de Setembro de 2014 (data de aquisição) à Setembro de 2017, um Prêmio de Locação mínimo equivalente ao valor pago pelo Fundo no Empreendimento.
18.330.535/0001-96;2017-06-30;2;Shopping Praça Rio Grande;0.00958293747586423;Vendedor ( 5R Shopping Centers Ltda);Conforme a Escritura de Compra e Venda de 24 de setembro de 2014, o Vendedor do Empreendimento , se compromete a pagar mensalmente ao Fundo entre o período de Setembro de 2014 (data de aquisição) à Setembro de 2017, um Prêmio de Locação mínimo equivalente ao valor pago pelo Fundo no Empreendimento.
18.369.510/0001-04;2017-03-31;1;IMÓVEL CONASA;;;
18.369.510/0001-04;2017-06-30;1;IMÓVEL CONASA;1;Cia Aguas de Itapema, regime built to suit, fiador CONASA;Locação garantida fev16 a jul29, vl mensal R$ 164.038,00
18.369.510/0001-04;2017-09-29;1;IMÓVEL CONASA;1;Cia Aguas de Itapema, regime built to suit, fiador CONASA;Locação garantida fev16 a jul29, vl mensal R$ 164.038,00
18.369.510/0001-04;2017-12-31;1;IMÓVEL CONASA;1;Cia Aguas de Itapema, regime built to suit, fiador CONASA;Locação garantida fev16 a jul29, vl mensal R$ 171.844,42
19.107.604/0001-60;2017-06-30;1;Ações da BRA Holding;0.09;SPEs investidas pela BRA Holding;Preferência na distribuição de resultados dos empreendimentos investidos. (IPCA + 9% a.a)
19.107.604/0001-60;2017-09-29;1;Ações da BRA Holding;0.095;SPEs investidas pela BRA Holding;Preferência na distribuição de resultados dos empreendimentos investidos. (IPCA + 9,5% a.a)
19.107.604/0001-60;2017-12-29;1;Ações da BRA Holding;0.095;SPEs investidas pela BRA Holding;Preferência na distribuição de resultados dos empreendimentos investidos. (IPCA + 9,5% a.a)
28.152.272/0001-26;2017-12-31;3;Não aplicável;0;Não aplicável;Não aplicável
