CNPJ_Fundo_Classe,Data_Referencia,Versao,Nome_Imovel,Endereco,Data_Alienacao,Area,Numero_Unidades,Outras_Caracteristicas_Relevantes,Percentual_Imovel_Total_Investido,Percentual_Imovel_PL,CNPJ_Fundo
15.461.076/0001-91,2021-12-31,1,CASAS TRANCOSO,ESTRADA ARRAIAL DA AJUDA TRANCOSO,2021-12-22,2767.57,3.0,"RESIDÊNCIA UR-03,UR-14 ,UR 16",0.151988,0.03727074,
15.576.907/0001-70,2021-06-30,1,Santander - Juiz de Fora,"Av. Barão de Rio Branco, 2519 - MG",2021-06-16,2918.0,1.0,imóvel para renda,0.014301,0.013216,
15.576.907/0001-70,2021-06-30,1,CEF - Itaquaquecetuba,"Rua Sebastião Ferreira dos Santos, nº 93 - Itaqua - SP",2021-06-16,2342.1,1.0,imóvel para renda,0.005581,0.005158,
15.576.907/0001-70,2021-06-30,1,CEF - Hebraica,"Av. Brigadeiro Faria Lima, 1644 (Loja) - SP - SP",2021-06-17,315.47,1.0,imóvel para renda,0.006425,0.005938,
15.576.907/0001-70,2021-06-30,1,CEF - Quitaúna,"Av. dos Autonomistas, nº 5.386 - Osasco - SP",2021-06-24,2250.0,1.0,imóvel para renda,0.005116,0.004728,
15.576.907/0001-70,2021-12-31,1,CEF - Bonsucesso,"Av. Carmela Thomeu, 557 - Guarulhos/SP",2021-10-15,938.02,1.0,Imóvel para Renda - Agência Bancária,0.002909,0.002995,
15.576.907/0001-70,2021-12-31,1,CEF - Venda Nova,"Rua Padre Pedro Pinto, nº 1.580 - BH - MG",2021-10-15,2585.45,1.0,Imóvel para Renda - Agência Bancária,0.009163,0.009434,
16.915.968/0001-88,2021-03-31,1,Way Parque das Nações Apto. 113,"Av. Estados Unidos, 92, Parque das Nações - Santo André/SP",,58.87,1.0,Não possui,0.0909090909090909,0.0006817930421206,
16.915.968/0001-88,2021-03-31,1,Way Parque das Nações Apto. 171,"Av. Estados Unidos, 92, Parque das Nações - Santo André/SP",,58.87,1.0,Não possui,0.0909090909090909,0.0006817930421206,
16.915.968/0001-88,2021-03-31,1,Way Parque das Nações Apto. 172,"Av. Estados Unidos, 92, Parque das Nações - Santo André/SP",,58.87,1.0,Não possui,0.0909090909090909,0.0006817930421206,
16.915.968/0001-88,2021-03-31,1,Way Parque das Nações Apto. 41,"Av. Estados Unidos, 92, Parque das Nações - Santo André/SP",,58.87,1.0,Não possui,0.0909090909090909,0.0006817930421206,
16.915.968/0001-88,2021-03-31,1,Way Parque das Nações Apto. 44,"Av. Estados Unidos, 92, Parque das Nações - Santo André/SP",,58.87,1.0,Não possui,0.0909090909090909,0.0006817930421206,
16.915.968/0001-88,2021-06-30,2,Way Parque das Nações Apto. 53,"Av. Estados Unidos, 92, Parque das Nações - Santo André/SP",,58.87,1.0,Não possui,0.166666666666667,0.000605045170042,
16.915.968/0001-88,2021-06-30,2,Way Parque das Nações Apto. 63,"Av. Estados Unidos, 92, Parque das Nações - Santo André/SP",,58.87,1.0,Não possui,0.166666666666667,0.000605045170042,
16.915.968/0001-88,2021-06-30,2,Way Parque das Nações Apto. 64,"Av. Estados Unidos, 92, Parque das Nações - Santo André/SP",,58.87,1.0,Não possui,0.166666666666667,0.000605045170042,
16.915.968/0001-88,2021-06-30,2,Way Parque das Nações Apto. 103,"Av. Estados Unidos, 92, Parque das Nações - Santo André/SP",,58.87,1.0,Não possui,0.166666666666667,0.000605045170042,
16.915.968/0001-88,2021-09-30,1,Way Parque das Nações Apto. 14,"Av. Estados Unidos, 92, Parque das Nações - Santo André/SP",2021-08-09,58.87,1.0,Não possui,0.5,0.000604,
16.915.968/0001-88,2021-09-30,1,Way Parque das Nações Apto. 173,"Av. Estados Unidos, 92, Parque das Nações - Santo André/SP",2021-08-11,58.87,1.0,Não possui,0.5,0.000604,
16.924.913/0001-34,2021-03-31,2,V.HOUSE - unidade 1403,"Av. Eusébio Matoso, 218 - Pinheiros, São Paulo - SP, CEP 05423-000",2021-01-29,108.35,1.0,Venda da unidade 1403,0.1229,0.042,
16.924.913/0001-34,2021-03-31,2,V.HOUSE - unidade 1804,"Av. Eusébio Matoso, 218 - Pinheiros, São Paulo - SP, CEP 05423-000",2020-01-26,70.84,1.0,Venda da unidade 1804,0.0697,0.0244,
16.924.913/0001-34,2021-03-31,2,V.HOUSE - unidade 1801,"Av. Eusébio Matoso, 218 - Pinheiros, São Paulo - SP, CEP 05423-000",2021-02-10,78.49,1.0,Venda da unidade 1801,0.0803,0.0283,
16.924.913/0001-34,2021-03-31,2,V.HOUSE - unidade 1802,"Av. Eusébio Matoso, 218 - Pinheiros, São Paulo - SP, CEP 05423-000",2021-02-10,70.84,1.0,Venda da unidade 1802,0.0697,0.0243,
16.924.913/0001-34,2021-06-30,1,V.HOUSE - unidade 1403,"Av. Eusébio Matoso, 218 - Pinheiros, São Paulo - SP, CEP 05423-000",2021-01-29,108.35,1.0,Venda da unidade 1403,0.1229,0.042,
16.924.913/0001-34,2021-06-30,1,V.HOUSE - unidade 1804,"Av. Eusébio Matoso, 218 - Pinheiros, São Paulo - SP, CEP 05423-000",2020-01-26,70.84,1.0,Venda da unidade 1804,0.0697,0.0244,
16.924.913/0001-34,2021-06-30,1,V.HOUSE - unidade 1801,"Av. Eusébio Matoso, 218 - Pinheiros, São Paulo - SP, CEP 05423-000",2021-02-10,78.49,1.0,Venda da unidade 1801,0.0803,0.0283,
16.924.913/0001-34,2021-06-30,1,V.HOUSE - unidade 1802,"Av. Eusébio Matoso, 218 - Pinheiros, São Paulo - SP, CEP 05423-000",2021-02-10,70.84,1.0,Venda da unidade 1802,0.0697,0.0243,
17.198.500/0001-82,2021-06-30,3,Fazenda São Pedro do Pará,"Zona rural do município de Cumaru do Norte, comarca de Redenção, estado do Pará",2021-04-27,46585051.0,1.0,Direito de propriedade,0.2441,0.2391,
17.209.378/0001-00,2021-06-30,1,TREND HIGIENÓPOLIS-UNID-2204,"Rua Santa Isabel, nº 272, Higienópolis, São Paulo - SP",2021-05-21,81.0,1.0,MAT - 90.443 - Apartamento Residencial,0.075145,0.0777,
17.308.805/0001-08,2021-06-30,1,Shopping Light,"R. Cel. Xavier de Toledo, N° 23 - São Paulo - SP",2021-05-14,18688.83,97.0,Direito de Propriedade,1.0,1.0,
17.655.115/0001-17,2021-03-31,1,MOT - Morumbi Office Tower,"Av. Roque Petroni Júnior, 999 - São Paulo - SP",2021-02-01,3650.88,12.0,"401 a 1501 ala ""A"".",0.123886,0.246483,
18.497.672/0001-10,2021-03-31,1,Premier L'Allure 3201,"Alameda Ricardo Paranhos, Quadra 247, Lote 1/4-35, Setor Marista, Goiânia, Goiás",2021-02-01,200.79,1.0,Escritura,,0.0375,
18.497.672/0001-10,2021-06-30,1,Oeste Tower 2001,"Avenida A, nº 555, Setor Oeste, Goiânia, Goiás",2021-05-11,109.83,1.0,Imóvel recebido em dação.,,0.0149,
18.497.672/0001-10,2021-06-30,1,L'Essence Energie 1003,"Rua 46, quadra C-2, Jardim Goiás, Goiânia, Goiás",2021-05-04,97.08,1.0,Escritura,,0.0153,
18.497.672/0001-10,2021-06-30,1,L'Essence Energie 501,"Rua 46, quadra C-2, Jardim Goiás, Goiânia, Goiás",2021-05-11,96.85,1.0,Escritura,,0.0148,
18.497.672/0001-10,2021-06-30,1,L'Essence Energie 803,"Rua 46, quadra C-2, Jardim Goiás, Goiânia, Goiás",2021-05-05,97.08,1.0,Escritura,,0.0156,
18.497.672/0001-10,2021-06-30,1,L'Essence Energie 2201,"Rua 46, quadra C-2, Jardim Goiás, Goiânia, Goiás",2021-05-13,97.08,1.0,Escritura,,0.0149,
18.497.672/0001-10,2021-06-30,1,Premier L'Allure 1601,"Alameda Ricardo Paranhos, Quadra 247, Lote 1/4-35, Setor Marista, Goiânia, Goiás",2021-06-29,200.79,1.0,Escritura,,0.0365,
18.497.672/0001-10,2021-06-30,1,Premier L'Allure 1801,"Alameda Ricardo Paranhos, Quadra 247, Lote 1/4-35, Setor Marista, Goiânia, Goiás",2021-05-11,200.79,1.0,Escritura,,0.0365,
18.497.672/0001-10,2021-06-30,1,Premier L'Allure 501,"Alameda Ricardo Paranhos, Quadra 247, Lote 1/4-35, Setor Marista, Goiânia, Goiás",2021-06-11,200.79,1.0,Escritura,,0.0365,
18.497.672/0001-10,2021-06-30,1,Visage Oeste 2001,"Rua R-17, quadra R-33, Setor Oeste, Goiânia, Goiás",2021-05-24,72.31,1.0,Escritura,,0.0094,
18.497.672/0001-10,2021-06-30,1,Visage Oeste 201,"Rua R-17, quadra R-33, Setor Oeste, Goiânia, Goiás",2021-05-11,72.31,1.0,Escritura,,0.0089,
18.497.672/0001-10,2021-09-30,3,Oeste Tower 2001,"Avenida A, nº 555, Setor Oeste, Goiânia, Goiás",2021-05-11,109.83,1.0,Imóvel recebido em dação.,,0.0149,
18.497.672/0001-10,2021-09-30,3,L'Essence Energie 1003,"Rua 46, quadra C-2, Jardim Goiás, Goiânia, Goiás",2021-05-04,97.08,1.0,Escritura,,0.0153,
18.497.672/0001-10,2021-09-30,3,L'Essence Energie 501,"Rua 46, quadra C-2, Jardim Goiás, Goiânia, Goiás",2021-05-11,96.85,1.0,Escritura,,0.0148,
18.497.672/0001-10,2021-09-30,3,L'Essence Energie 803,"Rua 46, quadra C-2, Jardim Goiás, Goiânia, Goiás",2021-05-05,97.08,1.0,Escritura,,0.0156,
18.497.672/0001-10,2021-09-30,3,L'Essence Energie 2201,"Rua 46, quadra C-2, Jardim Goiás, Goiânia, Goiás",2021-05-13,97.08,1.0,Escritura,,0.0149,
18.497.672/0001-10,2021-09-30,3,Premier L'Allure 1601,"Alameda Ricardo Paranhos, Quadra 247, Lote 1/4-35, Setor Marista, Goiânia, Goiás",2021-06-29,200.79,1.0,Escritura,,0.0365,
18.497.672/0001-10,2021-09-30,3,Premier L'Allure 1801,"Alameda Ricardo Paranhos, Quadra 247, Lote 1/4-35, Setor Marista, Goiânia, Goiás",2021-05-11,200.79,1.0,Escritura,,0.0365,
18.497.672/0001-10,2021-09-30,3,Premier L'Allure 501,"Alameda Ricardo Paranhos, Quadra 247, Lote 1/4-35, Setor Marista, Goiânia, Goiás",2021-06-11,200.79,1.0,Escritura,,0.0365,
18.497.672/0001-10,2021-09-30,3,Visage Oeste 2001,"Rua R-17, quadra R-33, Setor Oeste, Goiânia, Goiás",2021-05-24,72.31,1.0,Escritura,,0.0094,
18.497.672/0001-10,2021-09-30,3,Visage Oeste 201,"Rua R-17, quadra R-33, Setor Oeste, Goiânia, Goiás",2021-05-11,72.31,1.0,Escritura,,0.0089,
18.497.672/0001-10,2021-12-31,2,Premier L'Adresse 1100,"Alameda Ricardo Paranhos, Quadra 247, Lote 1/4-35, Setor Marista, Goiânia, Goiás",,265.94,1.0,,,,
18.497.672/0001-10,2021-12-31,2,Premier L'Adresse 2700,"Alameda Ricardo Paranhos, Quadra 247, Lote 1/4-35, Setor Marista, Goiânia, Goiás",,265.94,1.0,,,,
18.497.672/0001-10,2021-12-31,2,Premier L'Adresse 2800,"Alameda Ricardo Paranhos, Quadra 247, Lote 1/4-35, Setor Marista, Goiânia, Goiás",,265.94,1.0,,,,
18.497.672/0001-10,2021-12-31,2,Visage Sudoeste 1401,"Rua R-17, quadra R-33, Setor Oeste, Goiânia, Goiás",,70.79,1.0,,,,
18.497.672/0001-10,2021-12-31,2,BPWR - BL6 APTO102,"Ceará,Fortaleza,  Medusa - Porto das Dunas, Beach Park Wellness",,121.0,1.0,,,,
18.497.672/0001-10,2021-12-31,2,BPWR - BL7 APTO102,"Ceará,Fortaleza,  Medusa - Porto das Dunas, Beach Park Wellness",,121.0,1.0,,,,
19.628.741/0001-40,2021-06-30,1,Morumbi Shopping,"Av. Giovanni Gronchi 5930, Shopping, São Paulo, SP, 05724-002",2021-05-14,31460.79,192.0,Direito de Propriedade,1.0,1.0,
19.722.048/0001-31,2021-03-31,1,144574,Alameda Franca 1314 - 51,2021-02-04,175.85,1.0,Apartamento para venda,0.0089209415320747,0.0077760132199708,
19.722.048/0001-31,2021-03-31,1,166714,Alameda Campinas 541 - 142,2021-01-25,159.48,1.0,Apartamento para venda,0.0097871837408207,0.0085310804785878,
19.722.048/0001-31,2021-03-31,1,160546,Rua Cap. Pinto Ferreira 65 - 111,2021-02-04,134.6,1.0,Apartamento para venda,0.0071496006310937,0.0062320091242618,
19.722.048/0001-31,2021-03-31,1,140133,Alameda Sarutaiá 186 - 82,2021-02-11,137.315,1.0,Apartamento para venda,0.006633111854468,0.0057818073669061,
19.722.048/0001-31,2021-03-31,1,161523,Rua Tatuí 95 - 21,2021-02-12,164.02,1.0,Apartamento para venda,0.0078008943781332,0.0067997147603603,
19.722.048/0001-31,2021-03-31,1,146006,Alameda Franca 1581 - 21,2021-03-11,112.39,1.0,Apartamento para venda,0.0062260020797279,0.0054269467303941,
19.722.048/0001-31,2021-03-31,1,268046,Rua Baltazar da Veiga 473 - 152,2021-03-23,154.2,1.0,Apartamento para venda,0.0121243047366658,0.0105682515210187,
19.722.048/0001-31,2021-03-31,1,158669,Rua Caconde 380 - 101,2021-03-15,229.34,1.0,Apartamento para venda,0.0136502957117637,0.0118983943039586,
19.722.048/0001-31,2021-03-31,1,139651,Alameda Campinas 911 - 111,2021-02-03,126.98,1.0,Apartamento para venda,0.0064689033408538,0.0056386736440693,
19.722.048/0001-31,2021-03-31,1,329614,"Rua Clodomiro Amazonas, 506 - 104",2021-02-04,70.48,1.0,Apartamento para venda,0.0057183294106244,0.0049844296068178,
19.722.048/0001-31,2021-03-31,1,233211,Rua Tabapuã 133 - 33,2021-01-26,48.92,1.0,Apartamento para venda,0.0028913856460291,0.0025203004555873,
19.722.048/0001-31,2021-03-31,1,236981,Rua Romilda Margarida Gabriel 69 - 101,2021-01-27,84.8,1.0,Apartamento para venda,0.0036369878660141,0.0031702108600662,
19.722.048/0001-31,2021-03-31,1,137506,Alameda Franca 162 - 121,2021-03-08,113.515,1.0,Apartamento para venda,0.0053718454368284,0.0046824139562209,
19.722.048/0001-31,2021-03-31,1,155364,Alameda Lorena 853 - 102B,2021-03-03,89.0,1.0,Apartamento para venda,0.0061216034404386,0.0053359467842178,
19.722.048/0001-31,2021-03-31,1,143037,Rua da Consolação 2801 - 102,2021-03-03,100.38,1.0,Apartamento para venda,0.0050079106032509,0.0043651871178954,
19.722.048/0001-31,2021-03-31,1,333046,Doutor Ivo Define Frasca 40 - 22,2021-02-17,91.698,1.0,Apartamento para venda,0.0050804510369297,0.0044284175929793,
19.722.048/0001-31,2021-03-31,1,231498,Rua Viradouro 97 - 54,2021-03-29,92.72,1.0,Apartamento para venda,0.0051083678995919,0.0044527515595613,
19.722.048/0001-31,2021-03-31,1,211793,Rua Francisco Leitão 369 - 92,2021-03-09,101.05,1.0,Apartamento para venda,0.0038360158526868,0.0033436952675076,
19.722.048/0001-31,2021-03-31,1,230043,Rua Pedroso Alvarenga 271 - 92,2021-03-30,122.5,1.0,Apartamento para venda,0.0078965588614382,0.0068831015064999,
19.722.048/0001-31,2021-03-31,1,268239,Rua Domingos Leme 609 - 61,2021-03-12,191.568,1.0,Apartamento para venda,0.0183979186934581,0.0160366995418483,
19.722.048/0001-31,2021-03-31,1,139195,Alameda Franca 35 - 14,2021-03-29,244.16,1.0,Apartamento para venda,0.0144458728841117,0.0125918657932002,
19.722.048/0001-31,2021-03-31,1,148541,Rua da Consolação 3665 - 22,2021-01-26,203.18,1.0,Apartamento para venda,0.0110279869036969,0.00961263692229,
19.722.048/0001-31,2021-03-31,1,153276,Rua José Maria Lisboa 1055 - 5,2021-03-25,207.2,1.0,Apartamento para venda,0.0111331174533017,0.0097042748442078,
19.722.048/0001-31,2021-03-31,1,1424643,Rua Marcos Lopes 272,2021-03-22,73.73,1.0,Apartamento para venda,0.0060067504494469,0.0052358342150351,
19.722.048/0001-31,2021-03-31,1,143073,Alameda Jaú 1863,2021-03-04,114.39,1.0,Apartamento para venda,0.0059467766720463,0.0051835575708893,
19.722.048/0001-31,2021-03-31,1,223056,Rua da Mata 129,2021-02-25,139.73,1.0,Apartamento para venda,0.008765033819432,0.007640114959653,
19.722.048/0001-31,2021-06-30,1,140609,Alameda Joaquim Eugênio de Lima 1095 - 104,2021-04-29,105.47,1.0,Imóveis Para Venda Acabados,0.0056717162912664,0.0054055681485625,
19.722.048/0001-31,2021-06-30,1,141143,Alameda Joaquim Eugênio de Lima 1075 - 31,2021-04-16,86.62,1.0,Imóveis Para Venda Acabados,0.0047706103410622,0.0045467470487827,
19.722.048/0001-31,2021-06-30,1,145869,Alameda Casa Branca 438 - 92,2021-05-04,118.7,1.0,Imóveis Para Venda Acabados,0.0068490030270575,0.0065276101115071,
19.722.048/0001-31,2021-06-30,1,146434,Rua Bela Cintra 1760 - 104,2021-06-28,112.35,1.0,Imóveis Para Venda Acabados,0.0080554784226937,0.007677471041737,
19.722.048/0001-31,2021-06-30,1,147301,Alameda Tietê 471 - 103,2021-06-08,109.42,1.0,Imóveis Para Venda Acabados,0.0053226247034122,0.0050728578592376,
19.722.048/0001-31,2021-06-30,1,148600,"Rua Bela Cintra, 2316 - 93",2021-06-30,102.0,1.0,Imóveis Para Venda Acabados,0.0063276537247306,0.0060307253876938,
19.722.048/0001-31,2021-06-30,1,150486,Rua Padre João Manuel 774 - 21,2021-04-07,200.9628,1.0,Imóveis Para Venda Acabados,0.011393971343657,0.010859303501437,
19.722.048/0001-31,2021-06-30,1,151292,Alameda Min. Rocha Azevedo 976 - 62,2021-04-16,127.96,1.0,Imóveis Para Venda Acabados,0.0062731047588936,0.0059787361595443,
19.722.048/0001-31,2021-06-30,1,156855,"Rua Batataes, 453 - 21",2021-04-27,175.84,1.0,Imóveis Para Venda Acabados,0.0109590931976553,0.0104448322313996,
19.722.048/0001-31,2021-06-30,1,157832,"Alameda Lorena, 280 - 34",2021-05-07,58.79,1.0,Imóveis Para Venda Acabados,0.0033818127034623,0.0032231194395935,
19.722.048/0001-31,2021-06-30,1,158553,Rua Queluz 70 - 102,2021-05-24,84.57,1.0,Imóveis Para Venda Acabados,0.0037771820222431,0.0035999358540202,
19.722.048/0001-31,2021-06-30,1,158669,Rua Caconde 380 - 101,2021-04-20,229.34,1.0,Imóveis Para Venda Acabados,0.0144276494285601,0.0137506247147346,
19.722.048/0001-31,2021-06-30,1,159272,"Rua Batataes, 170  - 13",2021-05-07,101.1,1.0,Imóveis Para Venda Acabados,0.0045798067942696,0.0043648970544939,
19.722.048/0001-31,2021-06-30,1,161237,Alameda Joaquim Eugênio de Lima 1601 - 74,2021-04-16,103.34,1.0,Imóveis Para Venda Acabados,0.0054867854070615,0.0052293152392125,
19.722.048/0001-31,2021-06-30,1,161345,Rua Guarará 77 - 113,2021-04-16,122.33,1.0,Imóveis Para Venda Acabados,0.0072656314501865,0.0069246880361064,
19.722.048/0001-31,2021-06-30,1,218448,Rua Mourato Coelho 244 - 5,2021-06-11,148.4,1.0,Imóveis Para Venda Acabados,0.0058451000033823,0.0055708157426879,
19.722.048/0001-31,2021-06-30,1,231498,Rua Viradouro 97 - 54,2021-05-31,92.72,1.0,Imóveis Para Venda Acabados,0.0055338842077283,0.0052742039049435,
19.722.048/0001-31,2021-06-30,1,231644,Rua Manuel Guedes 475 - 23,2021-05-03,130.96,1.0,Imóveis Para Venda Acabados,0.0072312266022073,0.0068918976529417,
19.722.048/0001-31,2021-06-30,1,234991,"Rua Leopoldo Couto de Magalhães Júnior, 539 - 51",2021-05-04,46.75,1.0,Imóveis Para Venda Acabados,0.0029092689781807,0.0027727500665488,
19.722.048/0001-31,2021-06-30,1,236992,Rua Urimonduba 171 - 22,2021-05-07,144.72,1.0,Imóveis Para Venda Acabados,0.0063225754381791,0.0060258854022956,
19.722.048/0001-31,2021-06-30,1,251990,Rua João Lourenço 713 - 61,2021-04-19,161.45,1.0,Imóveis Para Venda Acabados,0.0112869698211079,0.0107573230792093,
19.722.048/0001-31,2021-06-30,1,216574,Rua Doutor Virgílio de Carvalho Pinto 336 - 92,2021-04-09,184.93,1.0,Imóveis Para Venda Acabados,0.0007912776597168,0.0007541465571225,
19.722.048/0001-31,2021-09-30,1,135448,Alameda Joaquim Eugênio de Lima 834 - 41,2021-07-15,184.66,1.0,Imóveis Para Venda Acabados,0.0125574540391083,0.0107018808692187,
19.722.048/0001-31,2021-09-30,1,136277,Alameda Jaú 88 - 133,2021-08-31,132.0,1.0,Imóveis Para Venda Acabados,0.0072733818685952,0.0061986184485823,
19.722.048/0001-31,2021-09-30,1,140785,Rua Saint Hilaire 118 - 41,2021-07-20,128.59,1.0,Imóveis Para Venda Acabados,0.0066494994730709,0.0056669250772579,
19.722.048/0001-31,2021-09-30,1,148377,Rua da Consolação 3630 - 81,2021-09-29,138.35,1.0,Imóveis Para Venda Acabados,0.0089071803782227,0.0075909959926201,
19.722.048/0001-31,2021-09-30,1,149043,Alameda Franca 1331 - 92,2021-07-06,188.22,1.0,Imóveis Para Venda Acabados,0.0080564535139279,0.0068659782043348,
19.722.048/0001-31,2021-09-30,1,149653,Rua Haddock Lobo 1141 - 92,2021-08-12,144.2,1.0,Imóveis Para Venda Acabados,0.0075564396689648,0.0064398497403094,
19.722.048/0001-31,2021-09-30,1,151484,Alameda Min. Rocha Azevedo 932 - 71,2021-09-23,191.06,1.0,Imóveis Para Venda Acabados,0.0143079361001804,0.0121937000248338,
19.722.048/0001-31,2021-09-30,1,155942,Rua Ouro Branco 75 - 21A,2021-07-06,194.28,1.0,Imóveis Para Venda Acabados,0.0126886972535154,0.0108137307108429,
